Tên công ty,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,24/03/2026,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
24/03/2026,"39,300.00","39,600.00","38,800.00","38,950.00",500.00,0.01,"4,191,200.00"
23/03/2026,"39,400.00","39,450.00","38,100.00","38,450.00","-1,300.00",-0.03,"10,634,100.00"
20/03/2026,"40,650.00","41,100.00","39,600.00","39,750.00",-900.00,-0.02,"10,147,300.00"
19/03/2026,"40,900.00","41,100.00","40,100.00","40,650.00",-650.00,-0.02,"6,392,700.00"
18/03/2026,"41,100.00","43,000.00","41,000.00","41,300.00",850.00,0.02,"14,609,300.00"
17/03/2026,"40,800.00","41,300.00","40,350.00","40,450.00",150.00,0.00,"6,922,000.00"
16/03/2026,"40,500.00","41,200.00","40,000.00","40,300.00",-350.00,-0.01,"5,174,500.00"
13/03/2026,"40,600.00","41,250.00","39,950.00","40,650.00",-100.00,0.00,"7,923,500.00"
12/03/2026,"41,800.00","41,900.00","40,650.00","40,750.00",-950.00,-0.02,"6,452,900.00"
11/03/2026,"41,300.00","42,350.00","41,300.00","41,700.00",-100.00,0.00,"6,154,500.00"
10/03/2026,"41,500.00","42,800.00","39,500.00","41,800.00","1,250.00",0.03,"14,055,500.00"
09/03/2026,"40,550.00","41,000.00","40,550.00","40,550.00","-3,000.00",-0.07,"6,134,800.00"
06/03/2026,"44,000.00","45,000.00","43,000.00","43,550.00",-850.00,-0.02,"5,423,100.00"
05/03/2026,"46,100.00","46,100.00","44,400.00","44,400.00","-1,200.00",-0.03,"6,063,200.00"
04/03/2026,"43,400.00","45,600.00","43,400.00","45,600.00","2,050.00",0.05,"10,734,400.00"
03/03/2026,"45,100.00","45,900.00","43,500.00","43,550.00","-1,650.00",-0.04,"15,198,300.00"
02/03/2026,"46,050.00","47,400.00","45,200.00","45,200.00","-2,700.00",-0.06,"11,738,000.00"
27/02/2026,"48,450.00","49,100.00","47,500.00","47,900.00",-550.00,-0.01,"6,519,700.00"
26/02/2026,"48,550.00","48,900.00","47,750.00","48,450.00",-50.00,0.00,"4,690,300.00"
25/02/2026,"48,950.00","49,950.00","48,500.00","48,500.00",-250.00,-0.01,"8,375,400.00"
24/02/2026,"49,450.00","49,450.00","48,450.00","48,750.00",-350.00,-0.01,"5,739,400.00"
23/02/2026,"47,600.00","49,700.00","47,150.00","49,100.00","2,200.00",0.05,"7,557,400.00"
13/02/2026,"47,550.00","47,700.00","46,800.00","46,900.00",-650.00,-0.01,"6,762,700.00"
12/02/2026,"48,300.00","48,500.00","47,350.00","47,550.00",-950.00,-0.02,"4,806,600.00"
11/02/2026,"46,550.00","48,750.00","46,100.00","48,500.00","1,400.00",0.03,"8,738,800.00"
10/02/2026,"50,200.00","50,500.00","47,100.00","47,100.00","-3,500.00",-0.07,"22,973,600.00"
09/02/2026,"51,800.00","51,800.00","50,600.00","50,600.00",-800.00,-0.02,"3,595,300.00"
06/02/2026,"50,700.00","52,300.00","50,700.00","51,400.00",-100.00,0.00,"9,885,700.00"
05/02/2026,"53,000.00","53,300.00","51,500.00","51,500.00","-1,500.00",-0.03,"9,817,200.00"
04/02/2026,"54,000.00","54,400.00","52,600.00","53,000.00","-1,100.00",-0.02,"9,645,300.00"
03/02/2026,"55,700.00","56,500.00","54,000.00","54,100.00",-900.00,-0.02,"11,573,700.00"
02/02/2026,"53,800.00","55,200.00","52,100.00","55,000.00","1,100.00",0.02,"11,934,200.00"
30/01/2026,"52,300.00","54,500.00","51,900.00","53,900.00","2,000.00",0.04,"13,696,100.00"
29/01/2026,"51,800.00","52,800.00","51,000.00","51,900.00",0.00,0.00,"7,082,200.00"
28/01/2026,"53,400.00","55,900.00","51,400.00","51,900.00",-700.00,-0.01,"17,897,800.00"
27/01/2026,"52,500.00","52,800.00","49,500.00","52,600.00",100.00,0.00,"12,478,800.00"
26/01/2026,"51,000.00","52,600.00","50,800.00","52,500.00","1,700.00",0.03,"11,947,600.00"
23/01/2026,"51,800.00","52,800.00","50,700.00","50,800.00","-1,200.00",-0.02,"10,080,300.00"
22/01/2026,"53,500.00","56,600.00","51,600.00","52,000.00","-1,000.00",-0.02,"18,089,900.00"
21/01/2026,"52,600.00","53,900.00","51,100.00","53,000.00",-200.00,0.00,"11,935,000.00"
20/01/2026,"52,900.00","55,300.00","52,200.00","53,200.00","1,200.00",0.02,"15,547,500.00"
19/01/2026,"51,100.00","52,600.00","50,500.00","52,000.00",900.00,0.02,"9,409,600.00"
16/01/2026,"51,000.00","54,200.00","50,400.00","51,100.00",400.00,0.01,"13,973,800.00"
15/01/2026,"52,600.00","54,000.00","50,700.00","50,700.00","-3,800.00",-0.07,"26,455,700.00"
14/01/2026,"50,800.00","54,500.00","50,200.00","54,500.00","3,500.00",0.07,"17,646,800.00"
13/01/2026,"49,350.00","51,600.00","48,600.00","51,000.00","1,750.00",0.04,"21,869,900.00"
12/01/2026,"47,900.00","49,250.00","47,000.00","49,250.00","3,200.00",0.07,"7,783,600.00"
09/01/2026,"43,800.00","46,050.00","43,700.00","46,050.00","3,000.00",0.07,"22,918,600.00"
08/01/2026,"41,300.00","43,800.00","40,900.00","43,050.00","2,100.00",0.05,"27,506,700.00"
07/01/2026,"39,500.00","41,400.00","39,500.00","40,950.00","2,050.00",0.05,"13,409,700.00"
06/01/2026,"38,300.00","38,900.00","37,800.00","38,900.00",450.00,0.01,"4,854,900.00"
05/01/2026,"38,850.00","38,900.00","37,900.00","38,450.00",-450.00,-0.01,"3,885,400.00"
31/12/2025,"39,500.00","39,550.00","38,900.00","38,900.00",-500.00,-0.01,"1,630,700.00"
30/12/2025,"38,800.00","39,850.00","38,650.00","39,400.00",600.00,0.02,"5,379,000.00"
29/12/2025,"38,800.00","38,900.00","38,600.00","38,800.00",0.00,0.00,"1,644,300.00"
26/12/2025,"38,450.00","38,800.00","38,000.00","38,800.00",0.00,0.00,"2,657,200.00"
25/12/2025,"38,400.00","38,950.00","38,350.00","38,800.00",400.00,0.01,"3,728,800.00"
24/12/2025,"38,000.00","38,450.00","37,800.00","38,400.00",400.00,0.01,"1,986,000.00"
23/12/2025,"38,500.00","38,800.00","37,900.00","38,000.00",-400.00,-0.01,"1,919,100.00"
