Tên công ty,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,24/03/2026,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
24/03/2026,"33,300.00","33,950.00","33,100.00","33,500.00","1,000.00",0.03,"5,107,300.00"
23/03/2026,"33,200.00","33,200.00","32,000.00","32,500.00","-1,100.00",-0.03,"13,238,000.00"
20/03/2026,"34,550.00","34,600.00","33,600.00","33,600.00","-1,050.00",-0.03,"10,708,700.00"
19/03/2026,"34,500.00","34,800.00","34,300.00","34,650.00",-350.00,-0.01,"7,530,900.00"
18/03/2026,"34,600.00","35,750.00","34,600.00","35,000.00",600.00,0.02,"12,546,300.00"
17/03/2026,"34,450.00","34,800.00","34,400.00","34,400.00",250.00,0.01,"7,184,200.00"
16/03/2026,"34,050.00","34,500.00","34,000.00","34,150.00",150.00,0.00,"5,159,300.00"
13/03/2026,"34,300.00","34,500.00","33,950.00","34,000.00",-300.00,-0.01,"8,278,900.00"
12/03/2026,"34,800.00","34,900.00","34,250.00","34,300.00",-800.00,-0.02,"12,913,700.00"
11/03/2026,"35,000.00","35,600.00","34,700.00","35,100.00",50.00,0.00,"12,877,000.00"
10/03/2026,"34,200.00","35,150.00","33,600.00","35,050.00","1,850.00",0.06,"24,975,700.00"
09/03/2026,"33,200.00","33,500.00","33,200.00","33,200.00","-2,450.00",-0.07,"17,770,800.00"
06/03/2026,"35,900.00","36,300.00","35,650.00","35,650.00",-550.00,-0.02,"8,532,000.00"
05/03/2026,"37,000.00","37,100.00","36,200.00","36,200.00",-200.00,-0.01,"8,015,700.00"
04/03/2026,"35,750.00","36,700.00","35,450.00","36,400.00",500.00,0.01,"19,451,000.00"
03/03/2026,"36,800.00","37,300.00","35,900.00","35,900.00",-950.00,-0.03,"21,254,700.00"
02/03/2026,"37,500.00","37,850.00","36,850.00","36,850.00","-1,400.00",-0.04,"25,730,000.00"
27/02/2026,"38,450.00","38,450.00","38,050.00","38,250.00",-250.00,-0.01,"8,888,400.00"
26/02/2026,"38,550.00","38,750.00","38,050.00","38,500.00",0.00,0.00,"11,489,400.00"
25/02/2026,"38,350.00","39,100.00","38,200.00","38,500.00",300.00,0.01,"10,573,600.00"
24/02/2026,"38,550.00","38,700.00","38,050.00","38,200.00",-500.00,-0.01,"12,133,300.00"
23/02/2026,"38,950.00","39,000.00","38,550.00","38,700.00",100.00,0.00,"8,379,600.00"
13/02/2026,"38,000.00","38,600.00","37,700.00","38,600.00",600.00,0.02,"9,259,700.00"
12/02/2026,"38,300.00","38,300.00","37,750.00","38,000.00",100.00,0.00,"8,656,700.00"
11/02/2026,"37,450.00","38,250.00","37,300.00","37,900.00",800.00,0.02,"13,723,100.00"
10/02/2026,"37,500.00","37,600.00","36,650.00","37,100.00",0.00,0.00,"12,648,100.00"
09/02/2026,"37,700.00","37,850.00","36,800.00","37,100.00",-300.00,-0.01,"9,918,300.00"
06/02/2026,"38,200.00","38,350.00","37,400.00","37,400.00","-1,200.00",-0.03,"24,838,700.00"
05/02/2026,"39,650.00","39,700.00","38,600.00","38,600.00","-1,000.00",-0.03,"16,072,100.00"
04/02/2026,"39,900.00","39,900.00","39,150.00","39,600.00",-100.00,0.00,"18,233,300.00"
03/02/2026,"39,750.00","40,300.00","39,300.00","39,700.00",350.00,0.01,"23,670,600.00"
02/02/2026,"38,800.00","39,800.00","38,700.00","39,350.00",600.00,0.02,"23,383,000.00"
30/01/2026,"38,200.00","39,000.00","37,800.00","38,750.00",450.00,0.01,"28,474,900.00"
29/01/2026,"38,500.00","38,900.00","38,100.00","38,300.00",-100.00,0.00,"10,027,200.00"
28/01/2026,"38,350.00","39,650.00","38,300.00","38,400.00",150.00,0.00,"15,308,300.00"
27/01/2026,"38,200.00","38,650.00","38,100.00","38,250.00",50.00,0.00,"12,601,700.00"
26/01/2026,"39,050.00","39,150.00","38,050.00","38,200.00",-800.00,-0.02,"17,221,600.00"
23/01/2026,"40,000.00","40,050.00","38,850.00","39,000.00",-900.00,-0.02,"17,979,800.00"
22/01/2026,"40,400.00","41,300.00","39,850.00","39,900.00",-300.00,-0.01,"21,656,100.00"
21/01/2026,"39,550.00","40,550.00","39,000.00","40,200.00",550.00,0.01,"20,390,200.00"
20/01/2026,"40,450.00","40,600.00","39,650.00","39,650.00",-350.00,-0.01,"18,904,200.00"
19/01/2026,"39,650.00","40,350.00","39,550.00","40,000.00",400.00,0.01,"13,549,500.00"
16/01/2026,"40,700.00","41,550.00","39,500.00","39,600.00",-400.00,-0.01,"21,678,400.00"
15/01/2026,"40,500.00","41,000.00","39,600.00","40,000.00","-1,450.00",-0.03,"28,177,000.00"
14/01/2026,"40,800.00","43,250.00","40,650.00","41,450.00",150.00,0.00,"30,568,900.00"
13/01/2026,"41,500.00","42,350.00","40,000.00","41,300.00",-200.00,0.00,"32,378,300.00"
12/01/2026,"42,000.00","43,500.00","41,350.00","41,500.00",750.00,0.02,"37,246,900.00"
09/01/2026,"39,000.00","40,850.00","38,700.00","40,750.00","2,550.00",0.07,"38,922,900.00"
08/01/2026,"37,550.00","39,500.00","37,100.00","38,200.00",750.00,0.02,"31,939,500.00"
07/01/2026,"36,400.00","37,500.00","36,350.00","37,450.00","1,250.00",0.03,"22,144,400.00"
06/01/2026,"35,400.00","36,200.00","34,800.00","36,200.00",700.00,0.02,"14,857,900.00"
05/01/2026,"35,800.00","36,100.00","34,550.00","35,500.00",-250.00,-0.01,"10,427,300.00"
31/12/2025,"35,700.00","35,800.00","35,400.00","35,750.00",100.00,0.00,"7,920,700.00"
30/12/2025,"35,350.00","35,950.00","35,200.00","35,650.00",350.00,0.01,"8,456,300.00"
29/12/2025,"35,000.00","35,350.00","34,900.00","35,300.00",100.00,0.00,"7,192,400.00"
26/12/2025,"34,900.00","35,250.00","34,250.00","35,200.00",200.00,0.01,"10,622,300.00"
25/12/2025,"35,400.00","36,450.00","35,000.00","35,000.00",-300.00,-0.01,"13,969,300.00"
24/12/2025,"35,000.00","35,300.00","34,700.00","35,300.00",300.00,0.01,"9,502,300.00"
23/12/2025,"35,300.00","35,550.00","34,650.00","35,000.00",-150.00,0.00,"9,893,700.00"
