Tên công ty,Tập đoàn Công nghiệp Cao su Việt Nam - Công ty Cổ phần,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,24/03/2026,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
24/03/2026,"29,300.00","29,850.00","28,600.00","28,650.00",50.00,0.00,"2,858,700.00"
23/03/2026,"29,700.00","30,500.00","28,600.00","28,600.00","-2,150.00",-0.07,"5,932,600.00"
20/03/2026,"32,400.00","32,400.00","30,700.00","30,750.00","-1,700.00",-0.05,"4,793,600.00"
19/03/2026,"33,500.00","33,500.00","32,050.00","32,450.00","-1,550.00",-0.05,"4,199,100.00"
18/03/2026,"33,050.00","34,500.00","32,950.00","34,000.00",700.00,0.02,"3,530,400.00"
17/03/2026,"33,900.00","34,100.00","33,200.00","33,300.00",250.00,0.01,"2,762,700.00"
16/03/2026,"33,300.00","34,400.00","32,500.00","33,050.00",-950.00,-0.03,"4,862,300.00"
13/03/2026,"35,300.00","36,050.00","33,300.00","34,000.00","-1,800.00",-0.05,"7,857,500.00"
12/03/2026,"35,700.00","37,850.00","35,100.00","35,800.00",150.00,0.00,"5,803,200.00"
11/03/2026,"33,350.00","35,650.00","33,350.00","35,650.00","2,300.00",0.07,"4,178,200.00"
10/03/2026,"35,150.00","36,100.00","32,700.00","33,350.00","-1,800.00",-0.05,"14,546,300.00"
09/03/2026,"35,150.00","35,150.00","35,150.00","35,150.00","-2,600.00",-0.07,"1,767,500.00"
06/03/2026,"39,650.00","41,100.00","37,750.00","37,750.00","-2,800.00",-0.07,"8,579,500.00"
05/03/2026,"42,600.00","42,900.00","40,550.00","40,550.00","-3,050.00",-0.07,"7,891,200.00"
04/03/2026,"46,000.00","46,500.00","42,800.00","43,600.00","-2,150.00",-0.05,"8,585,300.00"
03/03/2026,"44,400.00","45,750.00","41,200.00","45,750.00","2,950.00",0.07,"11,766,100.00"
02/03/2026,"38,800.00","42,800.00","37,500.00","42,800.00","2,800.00",0.07,"16,546,200.00"
27/02/2026,"40,800.00","42,300.00","39,800.00","40,000.00",-800.00,-0.02,"6,357,900.00"
26/02/2026,"42,600.00","42,900.00","40,050.00","40,800.00","-1,400.00",-0.03,"6,612,100.00"
25/02/2026,"39,800.00","42,200.00","39,500.00","42,200.00","2,750.00",0.07,"11,972,300.00"
24/02/2026,"39,550.00","40,300.00","39,050.00","39,450.00",550.00,0.01,"8,201,000.00"
23/02/2026,"37,500.00","38,900.00","37,000.00","38,900.00","2,500.00",0.07,"2,792,600.00"
13/02/2026,"35,500.00","36,400.00","35,100.00","36,400.00","1,050.00",0.03,"3,173,000.00"
12/02/2026,"36,000.00","36,200.00","35,300.00","35,350.00",50.00,0.00,"2,433,900.00"
11/02/2026,"35,950.00","36,800.00","35,200.00","35,300.00",-650.00,-0.02,"5,445,000.00"
10/02/2026,"38,000.00","38,900.00","35,950.00","35,950.00","-2,700.00",-0.07,"10,816,400.00"
09/02/2026,"39,500.00","39,700.00","38,600.00","38,650.00",-350.00,-0.01,"2,801,400.00"
06/02/2026,"39,000.00","40,850.00","38,850.00","39,000.00","-1,000.00",-0.03,"5,838,700.00"
05/02/2026,"41,700.00","41,700.00","40,000.00","40,000.00","-1,700.00",-0.04,"6,209,000.00"
04/02/2026,"42,600.00","43,000.00","40,500.00","41,700.00","-1,100.00",-0.03,"6,342,400.00"
03/02/2026,"42,000.00","43,800.00","41,000.00","42,800.00","1,000.00",0.02,"9,200,800.00"
02/02/2026,"40,000.00","41,800.00","39,650.00","41,800.00","1,950.00",0.05,"8,064,000.00"
30/01/2026,"40,850.00","41,800.00","39,650.00","39,850.00","-1,000.00",-0.02,"6,315,900.00"
29/01/2026,"38,200.00","40,850.00","37,900.00","40,850.00","2,650.00",0.07,"9,435,700.00"
28/01/2026,"41,150.00","42,400.00","38,200.00","38,200.00","-1,650.00",-0.04,"13,817,900.00"
27/01/2026,"38,700.00","40,600.00","38,400.00","39,850.00","1,200.00",0.03,"8,227,600.00"
26/01/2026,"36,650.00","39,350.00","36,650.00","38,650.00","1,750.00",0.05,"8,681,600.00"
23/01/2026,"38,550.00","38,850.00","36,600.00","36,900.00","-2,100.00",-0.05,"6,548,400.00"
22/01/2026,"39,050.00","40,800.00","38,500.00","39,000.00",500.00,0.01,"7,081,600.00"
21/01/2026,"38,000.00","39,500.00","36,500.00","38,500.00",-500.00,-0.01,"8,356,100.00"
20/01/2026,"39,200.00","40,650.00","37,600.00","39,000.00","1,000.00",0.03,"10,142,500.00"
19/01/2026,"36,000.00","38,400.00","35,950.00","38,000.00","2,100.00",0.06,"9,356,800.00"
16/01/2026,"37,400.00","38,500.00","35,550.00","35,900.00","-1,450.00",-0.04,"8,596,200.00"
15/01/2026,"36,350.00","38,850.00","35,800.00","37,350.00","1,000.00",0.03,"11,037,100.00"
14/01/2026,"34,300.00","36,350.00","33,700.00","36,350.00","2,350.00",0.07,"14,095,400.00"
