Tên công ty,Công ty Cổ phần Tập đoàn MaSan,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,24/03/2026,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
24/03/2026,"72,500.00","72,800.00","71,700.00","72,000.00","1,200.00",0.02,"2,786,300.00"
23/03/2026,"70,600.00","72,800.00","70,600.00","70,800.00",-500.00,-0.01,"8,307,600.00"
20/03/2026,"75,100.00","75,500.00","71,300.00","71,300.00","-4,100.00",-0.05,"8,880,900.00"
19/03/2026,"73,600.00","75,700.00","73,500.00","75,400.00",100.00,0.00,"8,216,000.00"
18/03/2026,"75,800.00","75,800.00","74,000.00","75,300.00",-100.00,0.00,"5,029,900.00"
17/03/2026,"74,000.00","75,700.00","73,800.00","75,400.00","1,900.00",0.03,"8,479,300.00"
16/03/2026,"74,700.00","75,200.00","73,400.00","73,500.00",-400.00,-0.01,"4,578,400.00"
13/03/2026,"73,400.00","74,700.00","72,700.00","73,900.00",800.00,0.01,"8,344,100.00"
12/03/2026,"73,200.00","74,500.00","71,800.00","73,100.00",100.00,0.00,"8,489,100.00"
11/03/2026,"69,300.00","73,000.00","69,100.00","73,000.00","4,700.00",0.07,"10,575,800.00"
10/03/2026,"69,000.00","69,800.00","66,100.00","68,300.00",100.00,0.00,"13,574,400.00"
09/03/2026,"68,200.00","70,000.00","68,200.00","68,200.00","-5,100.00",-0.07,"4,325,700.00"
06/03/2026,"74,900.00","75,000.00","73,200.00","73,300.00","-2,000.00",-0.03,"7,955,900.00"
05/03/2026,"76,800.00","77,500.00","75,300.00","75,300.00",-700.00,-0.01,"6,074,200.00"
04/03/2026,"77,100.00","77,600.00","74,000.00","76,000.00","-1,000.00",-0.01,"11,189,700.00"
03/03/2026,"79,200.00","79,700.00","77,000.00","77,000.00","-1,400.00",-0.02,"7,767,900.00"
02/03/2026,"77,800.00","80,700.00","77,300.00","78,400.00",-600.00,-0.01,"10,248,500.00"
27/02/2026,"80,500.00","80,600.00","79,000.00","79,000.00","-1,400.00",-0.02,"5,053,900.00"
26/02/2026,"80,700.00","81,200.00","79,900.00","80,400.00",100.00,0.00,"4,991,400.00"
25/02/2026,"81,300.00","81,600.00","80,300.00","80,300.00",-600.00,-0.01,"5,852,200.00"
24/02/2026,"79,300.00","80,900.00","78,600.00","80,900.00","1,700.00",0.02,"8,479,700.00"
23/02/2026,"78,800.00","79,200.00","78,300.00","79,200.00","1,200.00",0.02,"3,791,500.00"
13/02/2026,"78,000.00","78,300.00","77,700.00","78,000.00",0.00,0.00,"3,963,900.00"
12/02/2026,"78,400.00","78,400.00","78,000.00","78,000.00",0.00,0.00,"2,759,900.00"
11/02/2026,"77,300.00","78,600.00","76,900.00","78,000.00","1,200.00",0.02,"5,600,000.00"
10/02/2026,"78,200.00","78,400.00","75,600.00","76,800.00","-1,400.00",-0.02,"6,018,600.00"
09/02/2026,"79,000.00","79,200.00","78,000.00","78,200.00",0.00,0.00,"3,681,100.00"
06/02/2026,"78,400.00","79,500.00","77,700.00","78,200.00","-1,200.00",-0.02,"9,419,400.00"
05/02/2026,"82,800.00","82,900.00","79,400.00","79,400.00","-3,300.00",-0.04,"10,434,400.00"
04/02/2026,"84,100.00","84,900.00","82,500.00","82,700.00","-1,100.00",-0.01,"8,323,300.00"
03/02/2026,"84,500.00","84,800.00","83,300.00","83,800.00",0.00,0.00,"8,426,800.00"
02/02/2026,"83,900.00","85,500.00","82,200.00","83,800.00",-200.00,0.00,"11,833,900.00"
30/01/2026,"84,600.00","85,000.00","83,300.00","84,000.00",-100.00,0.00,"10,777,800.00"
29/01/2026,"80,300.00","85,000.00","80,200.00","84,100.00","4,600.00",0.06,"24,722,400.00"
28/01/2026,"77,200.00","79,500.00","77,100.00","79,500.00","2,800.00",0.04,"8,819,900.00"
27/01/2026,"77,400.00","77,500.00","76,700.00","76,700.00",-600.00,-0.01,"3,805,800.00"
26/01/2026,"79,100.00","79,500.00","76,000.00","77,300.00","-1,700.00",-0.02,"5,784,500.00"
23/01/2026,"80,000.00","80,200.00","79,000.00","79,000.00",-900.00,-0.01,"4,123,600.00"
22/01/2026,"79,600.00","80,600.00","79,100.00","79,900.00",0.00,0.00,"5,049,500.00"
21/01/2026,"79,000.00","79,900.00","78,500.00","79,900.00",-100.00,0.00,"6,385,500.00"
20/01/2026,"80,200.00","81,400.00","79,100.00","80,000.00",-200.00,0.00,"11,205,300.00"
19/01/2026,"82,100.00","82,300.00","80,200.00","80,200.00","-1,200.00",-0.01,"6,226,700.00"
16/01/2026,"81,300.00","85,500.00","79,900.00","81,400.00",400.00,0.00,"15,818,700.00"
15/01/2026,"80,500.00","82,500.00","79,800.00","81,000.00",400.00,0.00,"9,103,300.00"
14/01/2026,"79,100.00","82,000.00","78,600.00","80,600.00","1,300.00",0.02,"13,858,700.00"
13/01/2026,"79,500.00","82,200.00","79,300.00","79,300.00",700.00,0.01,"10,133,600.00"
12/01/2026,"76,600.00","78,800.00","75,900.00","78,600.00","2,100.00",0.03,"8,295,600.00"
09/01/2026,"78,500.00","78,600.00","76,500.00","76,500.00","-1,800.00",-0.02,"5,786,600.00"
08/01/2026,"79,000.00","79,000.00","77,700.00","78,300.00",-100.00,0.00,"4,525,700.00"
07/01/2026,"77,100.00","78,400.00","76,700.00","78,400.00","1,400.00",0.02,"8,379,800.00"
06/01/2026,"76,700.00","77,200.00","75,900.00","77,000.00",200.00,0.00,"3,765,300.00"
05/01/2026,"76,900.00","77,000.00","75,000.00","76,800.00",-200.00,0.00,"4,140,400.00"
31/12/2025,"76,700.00","77,200.00","76,100.00","77,000.00",100.00,0.00,"4,728,800.00"
30/12/2025,"75,700.00","76,900.00","75,500.00","76,900.00","1,400.00",0.02,"4,153,700.00"
29/12/2025,"75,300.00","75,500.00","74,600.00","75,500.00",200.00,0.00,"2,513,400.00"
26/12/2025,"76,000.00","76,000.00","73,100.00","75,300.00","-1,000.00",-0.01,"6,065,600.00"
25/12/2025,"76,500.00","77,000.00","76,000.00","76,300.00",100.00,0.00,"3,230,800.00"
24/12/2025,"75,600.00","76,200.00","75,100.00","76,200.00",100.00,0.00,"3,229,900.00"
23/12/2025,"76,300.00","77,300.00","75,600.00","76,100.00",100.00,0.00,"5,203,600.00"
22/12/2025,"76,000.00","76,200.00","75,500.00","76,000.00",200.00,0.00,"3,463,700.00"
19/12/2025,"74,300.00","75,800.00","74,000.00","75,800.00","1,800.00",0.02,"4,350,100.00"
18/12/2025,"74,400.00","74,400.00","73,500.00","74,000.00",0.00,0.00,"3,135,400.00"
17/12/2025,"74,600.00","75,000.00","74,000.00","74,000.00",-500.00,-0.01,"3,573,600.00"
16/12/2025,"73,900.00","75,200.00","73,000.00","74,500.00","1,000.00",0.01,"4,400,000.00"
15/12/2025,"73,200.00","74,300.00","73,000.00","73,500.00",0.00,0.00,"4,188,700.00"
12/12/2025,"76,500.00","76,600.00","73,100.00","73,500.00","-2,600.00",-0.03,"8,979,200.00"
11/12/2025,"77,400.00","77,600.00","76,000.00","76,100.00",-900.00,-0.01,"3,520,000.00"
10/12/2025,"77,100.00","77,400.00","76,600.00","77,000.00",0.00,0.00,"3,186,100.00"
09/12/2025,"77,900.00","78,000.00","76,600.00","77,000.00",-900.00,-0.01,"6,841,600.00"
08/12/2025,"78,000.00","78,800.00","77,900.00","77,900.00",-300.00,0.00,"4,073,012.00"
05/12/2025,"80,200.00","80,600.00","78,200.00","78,200.00","-1,700.00",-0.02,"6,658,503.00"
04/12/2025,"81,300.00","81,300.00","79,900.00","79,900.00",-700.00,-0.01,"5,779,300.00"
