Tên công ty,Ngân hàng Thương mại Cổ phần Sài Gòn – Hà Nội,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,24/03/2026,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
24/03/2026,"14,700.00","14,750.00","14,450.00","14,500.00",100.00,0.01,"24,158,800.00"
23/03/2026,"14,750.00","14,800.00","14,300.00","14,400.00",-500.00,-0.03,"85,660,000.00"
20/03/2026,"14,900.00","15,100.00","14,800.00","14,900.00",-100.00,-0.01,"35,688,500.00"
19/03/2026,"14,950.00","15,150.00","14,750.00","15,000.00",-100.00,-0.01,"65,431,900.00"
18/03/2026,"15,050.00","15,200.00","14,900.00","15,100.00",50.00,0.00,"46,241,800.00"
17/03/2026,"15,250.00","15,300.00","15,050.00","15,050.00",-150.00,-0.01,"48,614,400.00"
16/03/2026,"14,850.00","15,300.00","14,700.00","15,200.00",250.00,0.02,"84,195,400.00"
13/03/2026,"14,650.00","14,950.00","14,600.00","14,950.00",0.00,0.00,"57,514,000.00"
12/03/2026,"14,600.00","15,100.00","14,450.00","14,950.00",200.00,0.01,"83,295,200.00"
11/03/2026,"14,550.00","14,850.00","14,400.00","14,750.00",250.00,0.02,"52,147,100.00"
10/03/2026,"14,550.00","14,750.00","14,150.00","14,500.00",150.00,0.01,"79,944,700.00"
09/03/2026,"14,550.00","14,900.00","14,350.00","14,350.00","-1,050.00",-0.07,"123,396,700.00"
06/03/2026,"15,200.00","15,600.00","14,950.00","15,400.00",150.00,0.01,"73,881,300.00"
05/03/2026,"15,650.00","15,700.00","15,150.00","15,250.00",-250.00,-0.02,"67,258,100.00"
04/03/2026,"15,450.00","15,550.00","15,000.00","15,500.00",0.00,0.00,"87,559,100.00"
03/03/2026,"15,650.00","15,700.00","15,350.00","15,500.00",-150.00,-0.01,"53,183,400.00"
02/03/2026,"15,300.00","15,850.00","15,200.00","15,650.00",-300.00,-0.02,"88,122,000.00"
27/02/2026,"16,150.00","16,150.00","15,850.00","15,950.00",-200.00,-0.01,"38,821,900.00"
26/02/2026,"16,300.00","16,300.00","16,000.00","16,150.00",-50.00,0.00,"45,204,400.00"
25/02/2026,"15,600.00","16,200.00","15,500.00","16,200.00",650.00,0.04,"106,131,300.00"
