Tên công ty,Công ty Cổ phần Chứng khoán SSI,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,24/03/2026,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
24/03/2026,"26,250.00","26,500.00","25,850.00","26,050.00",650.00,0.03,"23,446,200.00"
23/03/2026,"26,100.00","26,350.00","25,200.00","25,400.00","-1,550.00",-0.06,"50,940,700.00"
20/03/2026,"26,800.00","27,300.00","26,650.00","26,950.00",-50.00,0.00,"34,786,500.00"
19/03/2026,"27,400.00","27,600.00","26,600.00","27,000.00","-1,000.00",-0.04,"60,356,700.00"
18/03/2026,"28,800.00","28,900.00","27,700.00","28,000.00",-650.00,-0.02,"42,490,600.00"
17/03/2026,"28,800.00","29,450.00","28,650.00","28,650.00",250.00,0.01,"29,267,400.00"
16/03/2026,"28,450.00","29,250.00","28,300.00","28,400.00",0.00,0.00,"26,040,700.00"
13/03/2026,"28,750.00","29,200.00","28,200.00","28,400.00",-750.00,-0.03,"54,940,600.00"
12/03/2026,"29,700.00","30,100.00","28,900.00","29,150.00","-1,100.00",-0.04,"44,112,200.00"
11/03/2026,"29,800.00","30,800.00","29,400.00","30,250.00",600.00,0.02,"39,065,300.00"
10/03/2026,"30,000.00","30,500.00","29,000.00","29,650.00",350.00,0.01,"81,041,100.00"
09/03/2026,"29,300.00","29,450.00","29,300.00","29,300.00","-2,200.00",-0.07,"33,530,000.00"
06/03/2026,"33,100.00","33,200.00","31,500.00","31,500.00","-2,000.00",-0.06,"70,603,700.00"
05/03/2026,"34,300.00","35,000.00","33,500.00","33,500.00",-200.00,-0.01,"83,987,900.00"
04/03/2026,"32,550.00","33,700.00","31,500.00","33,700.00","1,100.00",0.03,"92,511,300.00"
03/03/2026,"32,100.00","33,550.00","32,000.00","32,600.00",750.00,0.02,"70,785,100.00"
02/03/2026,"31,500.00","32,800.00","31,300.00","31,850.00",-550.00,-0.02,"72,555,400.00"
27/02/2026,"32,500.00","32,950.00","32,100.00","32,400.00",0.00,0.00,"37,296,900.00"
26/02/2026,"32,300.00","32,700.00","32,000.00","32,400.00",250.00,0.01,"30,429,600.00"
25/02/2026,"32,000.00","32,700.00","31,800.00","32,150.00",50.00,0.00,"42,664,700.00"
24/02/2026,"31,500.00","32,800.00","31,250.00","32,100.00",500.00,0.02,"46,478,100.00"
23/02/2026,"31,600.00","31,850.00","31,300.00","31,600.00",200.00,0.01,"16,669,300.00"
13/02/2026,"31,100.00","31,550.00","30,900.00","31,400.00",150.00,0.00,"19,533,500.00"
12/02/2026,"31,250.00","31,500.00","31,050.00","31,250.00",50.00,0.00,"11,764,300.00"
11/02/2026,"30,150.00","31,200.00","30,100.00","31,200.00","1,250.00",0.04,"22,738,100.00"
10/02/2026,"29,600.00","30,000.00","29,500.00","29,950.00",350.00,0.01,"19,127,600.00"
09/02/2026,"30,250.00","30,350.00","29,600.00","29,600.00",-300.00,-0.01,"14,650,200.00"
06/02/2026,"30,700.00","31,000.00","29,900.00","29,900.00","-1,100.00",-0.04,"37,356,200.00"
05/02/2026,"31,700.00","31,900.00","31,000.00","31,000.00",-550.00,-0.02,"15,197,700.00"
04/02/2026,"31,400.00","32,500.00","31,350.00","31,550.00",650.00,0.02,"32,382,800.00"
03/02/2026,"31,000.00","31,500.00","30,900.00","30,900.00",100.00,0.00,"27,630,800.00"
02/02/2026,"31,150.00","31,150.00","30,600.00","30,800.00",-350.00,-0.01,"20,335,700.00"
30/01/2026,"31,200.00","31,600.00","31,100.00","31,150.00",0.00,0.00,"18,979,800.00"
29/01/2026,"31,050.00","31,500.00","30,950.00","31,150.00",200.00,0.01,"11,080,700.00"
28/01/2026,"31,000.00","31,400.00","30,500.00","30,950.00",100.00,0.00,"24,978,600.00"
27/01/2026,"31,000.00","31,400.00","30,850.00","30,850.00",-150.00,0.00,"17,981,400.00"
26/01/2026,"31,750.00","32,400.00","30,800.00","31,000.00",-900.00,-0.03,"25,986,500.00"
23/01/2026,"32,200.00","32,700.00","31,800.00","31,900.00",0.00,0.00,"26,072,300.00"
22/01/2026,"32,050.00","32,550.00","31,700.00","31,900.00",200.00,0.01,"23,297,600.00"
21/01/2026,"32,250.00","32,500.00","31,400.00","31,700.00",-900.00,-0.03,"45,564,500.00"
20/01/2026,"33,000.00","33,300.00","32,250.00","32,600.00",-50.00,0.00,"27,568,900.00"
19/01/2026,"32,600.00","33,200.00","32,450.00","32,650.00",0.00,0.00,"23,355,000.00"
16/01/2026,"32,900.00","33,450.00","32,000.00","32,650.00",0.00,0.00,"40,835,700.00"
15/01/2026,"33,300.00","33,800.00","32,350.00","32,650.00",-700.00,-0.02,"42,148,600.00"
14/01/2026,"32,800.00","33,550.00","32,200.00","33,350.00",600.00,0.02,"58,600,100.00"
13/01/2026,"33,550.00","33,900.00","32,650.00","32,750.00",300.00,0.01,"50,152,400.00"
12/01/2026,"30,450.00","32,450.00","30,450.00","32,450.00","2,100.00",0.07,"55,916,600.00"
09/01/2026,"30,950.00","31,050.00","30,300.00","30,350.00",-200.00,-0.01,"29,015,400.00"
08/01/2026,"30,200.00","31,300.00","30,200.00","30,550.00",450.00,0.01,"43,204,100.00"
07/01/2026,"30,000.00","30,500.00","29,750.00","30,100.00",450.00,0.02,"24,638,500.00"
06/01/2026,"29,150.00","29,800.00","28,650.00","29,650.00",500.00,0.02,"24,039,700.00"
05/01/2026,"30,400.00","30,400.00","28,800.00","29,150.00","-1,100.00",-0.04,"31,181,700.00"
31/12/2025,"30,650.00","30,900.00","30,200.00","30,250.00",-350.00,-0.01,"13,612,800.00"
30/12/2025,"30,500.00","30,800.00","30,300.00","30,600.00",100.00,0.00,"11,165,800.00"
29/12/2025,"30,800.00","30,950.00","30,400.00","30,500.00",-250.00,-0.01,"11,999,500.00"
26/12/2025,"30,250.00","31,250.00","29,750.00","30,750.00",250.00,0.01,"31,205,200.00"
25/12/2025,"31,350.00","31,600.00","30,500.00","30,500.00",-850.00,-0.03,"16,892,800.00"
24/12/2025,"30,700.00","31,350.00","30,400.00","31,350.00",550.00,0.02,"22,076,900.00"
23/12/2025,"31,450.00","31,600.00","30,650.00","30,800.00",-650.00,-0.02,"26,174,900.00"
22/12/2025,"30,900.00","31,500.00","30,550.00","31,450.00",650.00,0.02,"29,655,000.00"
19/12/2025,"30,000.00","30,950.00","29,850.00","30,800.00",950.00,0.03,"42,628,200.00"
18/12/2025,"29,650.00","30,100.00","29,350.00","29,850.00",200.00,0.01,"16,276,800.00"
17/12/2025,"30,000.00","30,100.00","29,600.00","29,650.00",-600.00,-0.02,"13,669,700.00"
16/12/2025,"28,600.00","30,350.00","28,000.00","30,250.00","1,850.00",0.07,"32,104,500.00"
15/12/2025,"28,050.00","28,850.00","28,050.00","28,400.00",300.00,0.01,"18,667,300.00"
12/12/2025,"29,300.00","29,400.00","28,000.00","28,100.00",-950.00,-0.03,"21,558,800.00"
11/12/2025,"29,350.00","29,700.00","28,950.00","29,050.00",-200.00,-0.01,"11,688,200.00"
10/12/2025,"29,000.00","29,300.00","28,900.00","29,250.00",500.00,0.02,"12,135,600.00"
09/12/2025,"29,350.00","29,400.00","28,400.00","28,750.00",-650.00,-0.02,"30,826,600.00"
08/12/2025,"30,000.00","30,450.00","29,400.00","29,400.00",0.00,0.00,"31,938,300.00"
05/12/2025,"30,012.60","30,058.14","29,329.46","29,375.00",-550.00,-0.02,"47,912,904.00"
04/12/2025,"29,648.26","30,194.77","29,602.71","29,875.97",450.00,0.01,"34,935,601.00"
03/12/2025,"29,511.63","29,648.26","29,283.91","29,466.09",50.00,0.00,"22,077,808.00"
02/12/2025,"28,874.03","29,557.17","28,874.03","29,420.54",300.00,0.01,"31,439,704.00"
01/12/2025,"30,058.14","30,194.77","29,147.29","29,147.29",-800.00,-0.02,"28,946,513.00"
28/11/2025,"30,194.77","30,468.02","29,648.26","29,875.97",-400.00,-0.01,"27,213,600.00"
27/11/2025,"30,832.36","31,105.62","30,194.77","30,240.31",-800.00,-0.02,"21,424,002.00"
26/11/2025,"30,058.14","31,014.53","30,012.60","30,968.99","1,150.00",0.04,"37,328,149.00"
25/11/2025,"31,105.62","31,242.25","29,693.80","29,921.51","-1,550.00",-0.05,"53,826,510.00"
24/11/2025,"31,515.50","31,788.76","31,242.25","31,333.33",100.00,0.00,"11,833,019.00"
21/11/2025,"31,242.25","31,469.96","31,014.53","31,242.25",-500.00,-0.01,"18,445,610.00"
20/11/2025,"31,561.05","31,834.30","31,105.62","31,697.67",150.00,0.00,"21,863,700.00"
19/11/2025,"32,244.19","32,289.73","31,287.79","31,561.05",-900.00,-0.03,"24,018,604.00"
18/11/2025,"32,289.73","32,745.16","32,062.02","32,380.81",150.00,0.00,"26,411,510.00"
17/11/2025,"31,879.84","32,289.73","31,743.22","32,244.19",450.00,0.01,"16,703,534.00"
14/11/2025,"31,697.67","32,198.64","31,515.50","31,834.30",0.00,0.00,"19,630,001.00"
13/11/2025,"32,380.81","32,380.81","31,697.67","31,834.30",-550.00,-0.02,"21,313,002.00"
12/11/2025,"31,970.93","32,654.07","31,697.67","32,335.27",650.00,0.02,"34,965,501.00"
11/11/2025,"31,060.08","31,834.30","30,695.74","31,743.22","1,250.00",0.04,"30,203,917.00"
10/11/2025,"30,012.60","31,743.22","29,830.43","30,604.65",650.00,0.02,"33,031,201.00"
07/11/2025,"31,105.62","31,151.16","29,921.51","30,012.60","-1,350.00",-0.04,"37,148,100.00"
06/11/2025,"31,879.84","31,925.39","31,014.53","31,242.25",-600.00,-0.02,"23,197,900.00"
05/11/2025,"31,697.67","32,335.27","31,652.13","31,788.76",150.00,0.00,"30,363,402.00"
04/11/2025,"29,511.63","31,652.13","29,238.37","31,652.13","2,250.00",0.07,"58,593,113.00"
03/11/2025,"31,242.25","31,469.96","29,602.71","29,602.71","-1,800.00",-0.05,"50,105,140.00"
31/10/2025,"31,652.13","32,107.56","31,242.25","31,242.25",-550.00,-0.02,"30,316,304.00"
30/10/2025,"32,471.90","32,654.07","31,697.67","31,743.22",-750.00,-0.02,"28,097,301.00"
29/10/2025,"32,745.16","32,972.87","32,426.36","32,426.36",-250.00,-0.01,"23,017,017.00"
28/10/2025,"31,606.59","32,790.70","31,606.59","32,654.07","1,050.00",0.03,"35,014,101.00"
27/10/2025,"33,155.04","33,291.67","31,469.96","31,697.67","-1,200.00",-0.03,"71,537,600.00"
24/10/2025,"33,883.72","34,065.89","32,517.44","32,790.70","-1,500.00",-0.04,"82,075,200.00"
23/10/2025,"35,067.83","35,204.46","34,156.98","34,156.98",-950.00,-0.02,"24,351,102.00"
22/10/2025,"35,341.09","35,341.09","33,883.72","35,022.29",-150.00,0.00,"33,245,901.00"
21/10/2025,"34,566.86","35,978.68","33,656.01","35,158.91",650.00,0.02,"83,262,904.00"
20/10/2025,"37,117.25","38,073.64","34,566.86","34,566.86","-2,850.00",-0.07,"70,786,903.00"
17/10/2025,"37,800.39","38,210.27","37,071.71","37,162.79",-550.00,-0.01,"39,019,301.00"
16/10/2025,"37,982.56","38,483.53","37,481.59","37,663.76",-100.00,0.00,"30,831,804.00"
15/10/2025,"37,436.05","38,028.10","37,208.33","37,754.84",450.00,0.01,"30,234,304.00"
14/10/2025,"38,574.61","39,439.92","37,344.96","37,344.96",-350.00,-0.01,"70,219,205.00"
13/10/2025,"36,570.74","37,982.56","36,434.11","37,663.76",650.00,0.02,"42,363,801.00"
10/10/2025,"37,253.88","37,800.39","36,980.62","37,071.71",50.00,0.00,"30,655,100.00"
09/10/2025,"37,572.67","37,618.22","36,935.08","37,026.16",-550.00,-0.01,"33,531,500.00"
08/10/2025,"38,028.10","38,711.24","36,935.08","37,527.13",400.00,0.01,"53,807,600.00"
07/10/2025,"37,344.96","37,663.76","36,935.08","37,162.79",550.00,0.01,"44,890,800.00"
06/10/2025,"35,067.83","36,661.82","35,022.29","36,661.82","2,600.00",0.07,"53,780,102.00"
03/10/2025,"34,384.69","34,794.57","33,883.72","34,293.60",-200.00,-0.01,"25,177,700.00"
02/10/2025,"35,204.46","35,477.71","34,339.15","34,475.78",-750.00,-0.02,"21,367,600.00"
01/10/2025,"35,386.63","35,705.43","35,022.29","35,158.91",50.00,0.00,"18,967,104.00"
30/09/2025,"34,248.06","35,341.09","33,974.81","35,113.37","1,000.00",0.03,"38,419,001.00"
29/09/2025,"34,657.95","34,794.57","33,883.72","34,202.52",-450.00,-0.01,"34,509,300.00"
26/09/2025,"35,432.17","35,477.71","34,612.40","34,612.40","-1,000.00",-0.03,"40,873,600.00"
25/09/2025,"35,978.68","36,115.31","35,523.26","35,523.26",-250.00,-0.01,"27,331,200.00"
24/09/2025,"35,084.80","35,750.97","34,240.99","35,750.97",850.00,0.02,"36,497,153.00"
23/09/2025,"34,995.98","35,617.74","34,995.98","34,995.98",100.00,0.00,"21,483,501.00"
22/09/2025,"35,973.02","36,195.08","34,818.34","34,907.16","-1,050.00",-0.03,"43,938,602.00"
19/09/2025,"36,417.14","36,639.19","35,839.79","35,839.79",-450.00,-0.01,"27,987,000.00"
18/09/2025,"36,283.90","36,772.43","35,795.38","36,239.49",200.00,0.00,"27,101,000.00"
17/09/2025,"36,772.43","36,994.48","35,973.02","36,061.85","-1,000.00",-0.02,"40,055,400.00"
16/09/2025,"38,193.58","38,193.58","36,950.07","36,950.07",-600.00,-0.01,"39,433,502.00"
15/09/2025,"37,394.18","37,882.70","36,816.84","37,483.00",300.00,0.01,"41,651,003.00"
12/09/2025,"38,060.35","38,104.76","36,905.66","37,216.54",-550.00,-0.01,"34,589,501.00"
11/09/2025,"37,127.71","37,838.29","35,351.27","37,705.06",0.00,0.00,"86,230,602.00"
10/09/2025,"38,015.94","38,548.87","36,994.48","37,705.06",450.00,0.01,"43,410,203.00"
09/09/2025,"36,017.44","37,305.36","34,907.16","37,305.36","1,800.00",0.04,"52,245,901.00"
