Tên công ty,Ngân hàng Thương mại Cổ phần Á Châu,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,24/03/2026,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
24/03/2026,"22,750.00","23,100.00","22,750.00","22,850.00",350.00,0.02,"9,287,900.00"
23/03/2026,"22,950.00","22,950.00","22,450.00","22,500.00",-500.00,-0.02,"15,858,400.00"
20/03/2026,"23,400.00","23,500.00","23,000.00","23,000.00",-600.00,-0.03,"13,775,200.00"
19/03/2026,"23,500.00","23,800.00","23,250.00","23,600.00",-150.00,-0.01,"16,614,600.00"
18/03/2026,"23,750.00","23,900.00","23,550.00","23,750.00",0.00,0.00,"10,506,600.00"
17/03/2026,"23,500.00","23,850.00","23,500.00","23,750.00",300.00,0.01,"9,847,800.00"
16/03/2026,"23,400.00","23,450.00","23,250.00","23,450.00",0.00,0.00,"9,534,100.00"
13/03/2026,"22,950.00","23,450.00","22,800.00","23,450.00",300.00,0.01,"15,525,700.00"
12/03/2026,"23,000.00","23,250.00","22,600.00","23,150.00",-50.00,0.00,"15,668,600.00"
11/03/2026,"23,050.00","23,600.00","23,000.00","23,200.00",50.00,0.00,"18,301,200.00"
10/03/2026,"22,550.00","23,200.00","22,000.00","23,150.00","1,450.00",0.07,"23,159,600.00"
09/03/2026,"22,100.00","22,650.00","21,700.00","21,700.00","-1,600.00",-0.07,"35,451,400.00"
06/03/2026,"23,500.00","23,600.00","23,200.00","23,300.00",-250.00,-0.01,"11,699,100.00"
05/03/2026,"23,500.00","23,550.00","23,200.00","23,550.00",350.00,0.02,"9,923,300.00"
04/03/2026,"23,500.00","23,600.00","23,100.00","23,200.00",-300.00,-0.01,"21,996,800.00"
03/03/2026,"23,950.00","24,250.00","23,500.00","23,500.00",-450.00,-0.02,"14,088,200.00"
02/03/2026,"24,000.00","24,200.00","23,900.00","23,950.00",-600.00,-0.02,"19,337,800.00"
27/02/2026,"24,450.00","24,600.00","24,200.00","24,550.00",100.00,0.00,"11,051,000.00"
26/02/2026,"24,500.00","24,550.00","24,250.00","24,450.00",0.00,0.00,"13,367,200.00"
25/02/2026,"24,100.00","24,450.00","24,050.00","24,450.00",450.00,0.02,"16,965,000.00"
24/02/2026,"24,100.00","24,100.00","24,000.00","24,000.00",-50.00,0.00,"13,798,400.00"
23/02/2026,"24,000.00","24,100.00","23,850.00","24,050.00",200.00,0.01,"11,535,400.00"
13/02/2026,"23,850.00","23,900.00","23,700.00","23,850.00",0.00,0.00,"13,629,700.00"
12/02/2026,"23,650.00","23,850.00","23,550.00","23,850.00",200.00,0.01,"17,469,600.00"
11/02/2026,"23,050.00","23,650.00","23,050.00","23,650.00",650.00,0.03,"17,796,900.00"
10/02/2026,"23,100.00","23,150.00","22,850.00","23,000.00",50.00,0.00,"14,120,400.00"
09/02/2026,"23,200.00","23,350.00","22,900.00","22,950.00",-50.00,0.00,"11,128,300.00"
06/02/2026,"23,400.00","23,450.00","23,000.00","23,000.00",-450.00,-0.02,"18,597,300.00"
05/02/2026,"23,650.00","23,700.00","23,450.00","23,450.00",-150.00,-0.01,"14,043,600.00"
04/02/2026,"23,700.00","23,800.00","23,550.00","23,600.00",-100.00,0.00,"17,881,700.00"
03/02/2026,"23,800.00","23,900.00","23,700.00","23,700.00",-50.00,0.00,"17,659,700.00"
02/02/2026,"24,050.00","24,050.00","23,700.00","23,750.00",-350.00,-0.01,"14,303,300.00"
30/01/2026,"23,850.00","24,100.00","23,800.00","24,100.00",300.00,0.01,"15,667,300.00"
29/01/2026,"24,000.00","24,150.00","23,750.00","23,800.00",-100.00,0.00,"20,344,800.00"
28/01/2026,"24,450.00","24,500.00","23,850.00","23,900.00",-800.00,-0.03,"32,294,900.00"
27/01/2026,"24,600.00","24,800.00","24,450.00","24,700.00",-100.00,0.00,"12,471,600.00"
26/01/2026,"25,050.00","25,100.00","24,650.00","24,800.00",-250.00,-0.01,"13,742,900.00"
23/01/2026,"25,000.00","25,100.00","24,900.00","25,050.00",200.00,0.01,"11,781,000.00"
22/01/2026,"24,900.00","25,050.00","24,800.00","24,850.00",0.00,0.00,"10,084,800.00"
