Tên công ty,Công ty Cổ phần Lọc hóa dầu Bình Sơn,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,24/03/2026,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
24/03/2026,"26,750.00","27,450.00","25,150.00","25,500.00",-600.00,-0.02,"11,383,000.00"
23/03/2026,"27,100.00","29,000.00","26,100.00","26,100.00","-1,950.00",-0.07,"25,169,500.00"
20/03/2026,"29,000.00","29,950.00","27,250.00","28,050.00","-1,250.00",-0.04,"34,027,800.00"
19/03/2026,"31,900.00","32,000.00","29,300.00","29,300.00","-1,350.00",-0.04,"16,049,500.00"
18/03/2026,"28,450.00","32,600.00","28,450.00","30,650.00",150.00,0.00,"37,080,100.00"
17/03/2026,"31,900.00","32,750.00","30,500.00","30,500.00","-2,250.00",-0.07,"16,522,700.00"
16/03/2026,"35,050.00","35,050.00","32,750.00","32,750.00","-2,450.00",-0.07,"18,025,800.00"
13/03/2026,"38,250.00","39,500.00","35,200.00","35,200.00","-2,600.00",-0.07,"35,612,800.00"
12/03/2026,"37,300.00","38,000.00","36,500.00","37,800.00","1,650.00",0.05,"17,242,000.00"
11/03/2026,"33,500.00","36,150.00","32,950.00","36,150.00","2,350.00",0.07,"19,019,300.00"
10/03/2026,"35,450.00","37,900.00","33,700.00","33,800.00","-2,300.00",-0.06,"31,752,600.00"
09/03/2026,"39,600.00","39,600.00","36,100.00","36,100.00",-950.00,-0.03,"35,545,500.00"
06/03/2026,"35,800.00","37,800.00","35,700.00","37,050.00","1,450.00",0.04,"21,561,100.00"
05/03/2026,"37,850.00","38,450.00","35,600.00","35,600.00","-2,250.00",-0.06,"27,388,400.00"
04/03/2026,"36,100.00","37,950.00","34,100.00","37,850.00","2,200.00",0.06,"27,427,500.00"
03/03/2026,"35,650.00","35,650.00","32,050.00","35,650.00","2,300.00",0.07,"49,024,000.00"
02/03/2026,"33,350.00","33,350.00","33,350.00","33,350.00","2,150.00",0.07,"4,097,400.00"
27/02/2026,"30,550.00","32,000.00","30,200.00","31,200.00","1,200.00",0.04,"18,188,800.00"
26/02/2026,"29,300.00","30,000.00","28,350.00","30,000.00",650.00,0.02,"23,273,900.00"
25/02/2026,"28,700.00","29,950.00","27,500.00","29,350.00","1,350.00",0.05,"26,335,100.00"
24/02/2026,"26,850.00","28,000.00","26,800.00","28,000.00","1,800.00",0.07,"31,801,100.00"
23/02/2026,"25,300.00","26,200.00","25,100.00","26,200.00","1,700.00",0.07,"14,417,700.00"
13/02/2026,"23,950.00","24,800.00","23,700.00","24,500.00",600.00,0.03,"13,364,500.00"
12/02/2026,"23,800.00","24,400.00","23,800.00","23,900.00",450.00,0.02,"10,936,300.00"
11/02/2026,"23,100.00","23,700.00","22,400.00","23,450.00",350.00,0.02,"13,784,700.00"
10/02/2026,"24,600.00","25,150.00","22,950.00","23,100.00","-1,550.00",-0.06,"37,264,600.00"
09/02/2026,"25,000.00","25,100.00","24,400.00","24,650.00",100.00,0.00,"10,409,100.00"
