Tên công ty,Công ty cổ phần Tập đoàn Sunshine,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,24/03/2026,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
24/03/2026,"79,000.00","82,000.00","79,000.00","80,700.00","2,700.00",0.03,"25,200.00"
23/03/2026,"78,400.00","78,400.00","77,700.00","78,000.00",-200.00,0.00,"28,800.00"
20/03/2026,"79,400.00","79,400.00","78,200.00","78,200.00","-1,200.00",-0.02,"28,700.00"
19/03/2026,"80,500.00","82,000.00","79,400.00","79,400.00","-1,200.00",-0.01,"29,300.00"
18/03/2026,"80,100.00","80,900.00","78,500.00","80,600.00",600.00,0.01,"32,400.00"
17/03/2026,"77,700.00","80,000.00","77,700.00","80,000.00","2,300.00",0.03,"28,100.00"
16/03/2026,"79,500.00","79,600.00","77,700.00","77,700.00","-2,200.00",-0.03,"23,600.00"
13/03/2026,"79,900.00","79,900.00","76,200.00","79,900.00",-100.00,0.00,"22,600.00"
12/03/2026,"75,000.00","80,000.00","75,000.00","80,000.00","5,200.00",0.07,"24,500.00"
11/03/2026,"72,900.00","74,900.00","72,900.00","74,800.00","2,000.00",0.03,"33,700.00"
10/03/2026,"71,100.00","74,100.00","69,800.00","72,800.00","3,000.00",0.04,"39,200.00"
09/03/2026,"77,000.00","77,000.00","69,800.00","69,800.00","-7,700.00",-0.10,"35,100.00"
06/03/2026,"78,500.00","80,500.00","75,000.00","77,500.00",-500.00,-0.01,"28,900.00"
05/03/2026,"77,800.00","78,500.00","73,100.00","78,000.00",-500.00,-0.01,"40,000.00"
04/03/2026,"78,900.00","78,900.00","71,900.00","78,500.00",-200.00,0.00,"27,700.00"
03/03/2026,"79,500.00","79,900.00","78,000.00","78,700.00",-300.00,0.00,"32,000.00"
02/03/2026,"81,300.00","82,100.00","79,000.00","79,000.00","-4,700.00",-0.06,"43,800.00"
27/02/2026,"83,000.00","84,200.00","82,500.00","83,700.00",200.00,0.00,"26,700.00"
26/02/2026,"83,600.00","84,000.00","83,500.00","83,500.00",0.00,0.00,"37,600.00"
25/02/2026,"83,700.00","84,000.00","82,000.00","83,500.00",-100.00,0.00,"33,500.00"
24/02/2026,"83,000.00","84,500.00","81,700.00","83,600.00","1,900.00",0.02,"62,200.00"
23/02/2026,"84,500.00","84,500.00","80,000.00","81,700.00","2,200.00",0.03,"34,000.00"
13/02/2026,"80,000.00","80,000.00","78,500.00","79,500.00",-500.00,-0.01,"9,600.00"
12/02/2026,"78,700.00","80,000.00","78,700.00","80,000.00","1,500.00",0.02,"11,200.00"
11/02/2026,"82,000.00","82,000.00","78,500.00","78,500.00","-3,500.00",-0.04,"36,000.00"
10/02/2026,"83,000.00","84,000.00","79,100.00","82,000.00",-200.00,0.00,"30,600.00"
09/02/2026,"81,500.00","83,800.00","78,100.00","82,200.00","1,000.00",0.01,"35,800.00"
06/02/2026,"78,500.00","84,400.00","78,500.00","81,200.00","-3,300.00",-0.04,"40,300.00"
05/02/2026,"87,000.00","87,200.00","83,500.00","84,500.00",-900.00,-0.01,"28,200.00"
04/02/2026,"92,000.00","92,000.00","80,200.00","85,400.00",200.00,0.00,"67,100.00"
03/02/2026,"84,800.00","85,200.00","84,000.00","85,200.00","7,700.00",0.10,"49,800.00"
02/02/2026,"70,500.00","77,500.00","70,500.00","77,500.00","7,000.00",0.10,"120,000.00"
30/01/2026,"68,000.00","70,500.00","67,100.00","70,500.00","2,000.00",0.03,"20,300.00"
29/01/2026,"71,000.00","71,000.00","67,400.00","68,500.00","-1,600.00",-0.02,"22,500.00"
28/01/2026,"69,000.00","78,600.00","66,200.00","70,100.00","-1,400.00",-0.02,"18,100.00"
27/01/2026,"65,100.00","71,500.00","65,100.00","71,500.00","6,500.00",0.10,"34,300.00"
26/01/2026,"67,400.00","68,000.00","63,800.00","65,000.00","-2,400.00",-0.04,"22,100.00"
23/01/2026,"70,000.00","70,400.00","66,000.00","67,400.00","-4,400.00",-0.06,"26,200.00"
22/01/2026,"65,000.00","71,800.00","64,900.00","71,800.00","6,500.00",0.10,"31,000.00"
21/01/2026,"65,700.00","66,000.00","65,300.00","65,300.00",-400.00,-0.01,"24,700.00"
20/01/2026,"65,400.00","66,300.00","65,000.00","65,700.00",300.00,0.00,"28,500.00"
19/01/2026,"66,000.00","66,000.00","63,000.00","65,400.00",400.00,0.01,"28,700.00"
16/01/2026,"66,300.00","66,400.00","64,800.00","65,000.00","-1,000.00",-0.02,"24,700.00"
15/01/2026,"65,600.00","66,500.00","61,000.00","66,000.00",400.00,0.01,"22,800.00"
14/01/2026,"65,900.00","66,500.00","65,400.00","65,600.00",-400.00,-0.01,"23,400.00"
13/01/2026,"66,500.00","66,500.00","66,000.00","66,000.00",-600.00,-0.01,"29,200.00"
12/01/2026,"62,200.00","66,800.00","61,100.00","66,600.00",0.00,0.00,"29,700.00"
09/01/2026,"67,000.00","67,400.00","66,500.00","66,600.00",400.00,0.01,"23,700.00"
08/01/2026,"67,000.00","67,900.00","64,700.00","66,200.00","-1,800.00",-0.03,"31,600.00"
07/01/2026,"66,900.00","69,300.00","66,000.00","68,000.00",700.00,0.01,"30,400.00"
06/01/2026,"67,500.00","67,600.00","67,000.00","67,300.00",300.00,0.00,"20,600.00"
05/01/2026,"70,000.00","70,000.00","64,000.00","67,000.00",500.00,0.01,"29,200.00"
31/12/2025,"67,800.00","67,800.00","62,600.00","66,500.00",-900.00,-0.01,"15,300.00"
30/12/2025,"68,500.00","68,700.00","64,500.00","67,400.00",-600.00,-0.01,"25,100.00"
29/12/2025,"68,000.00","69,000.00","67,900.00","68,000.00",-500.00,-0.01,"24,900.00"
26/12/2025,"70,000.00","70,100.00","67,200.00","68,500.00",-300.00,0.00,"33,300.00"
25/12/2025,"68,000.00","71,200.00","66,800.00","68,800.00",800.00,0.01,"40,200.00"
24/12/2025,"74,000.00","75,800.00","66,600.00","68,000.00","-6,000.00",-0.08,"80,500.00"
23/12/2025,"68,200.00","74,500.00","68,200.00","74,000.00",-400.00,-0.01,"18,200.00"
