Tên công ty,Ngân hàng Thương mại Cổ phần Lộc Phát Việt Nam,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,24/03/2026,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
24/03/2026,"41,300.00","41,600.00","40,950.00","41,050.00",-100.00,0.00,"670,700.00"
23/03/2026,"41,100.00","42,550.00","40,950.00","41,150.00",50.00,0.00,"745,300.00"
20/03/2026,"43,900.00","44,000.00","41,050.00","41,100.00","-2,800.00",-0.06,"1,920,100.00"
19/03/2026,"43,650.00","43,900.00","41,500.00","43,900.00",250.00,0.01,"4,447,600.00"
18/03/2026,"43,750.00","44,500.00","43,300.00","43,650.00",300.00,0.01,"2,196,800.00"
17/03/2026,"42,300.00","44,100.00","42,200.00","43,350.00","1,350.00",0.03,"3,410,600.00"
16/03/2026,"41,600.00","42,000.00","40,900.00","42,000.00",500.00,0.01,"1,219,100.00"
13/03/2026,"41,100.00","41,800.00","40,900.00","41,500.00",400.00,0.01,"1,678,600.00"
12/03/2026,"41,500.00","41,600.00","40,600.00","41,100.00",-600.00,-0.01,"2,167,300.00"
11/03/2026,"40,550.00","41,800.00","39,800.00","41,700.00","1,100.00",0.03,"2,275,300.00"
10/03/2026,"40,900.00","41,400.00","39,500.00","40,600.00",250.00,0.01,"2,403,800.00"
09/03/2026,"42,000.00","42,050.00","39,500.00","40,350.00","-1,900.00",-0.04,"1,982,400.00"
06/03/2026,"42,900.00","42,900.00","41,850.00","42,250.00",-600.00,-0.01,"1,469,300.00"
05/03/2026,"43,500.00","43,500.00","42,000.00","42,850.00",-250.00,-0.01,"1,933,300.00"
04/03/2026,"42,400.00","43,100.00","41,500.00","43,100.00",700.00,0.02,"2,091,600.00"
03/03/2026,"42,700.00","42,700.00","41,500.00","42,400.00",500.00,0.01,"1,332,600.00"
02/03/2026,"42,950.00","43,000.00","41,900.00","41,900.00","-1,150.00",-0.03,"1,500,700.00"
27/02/2026,"43,500.00","44,300.00","42,750.00","43,050.00",-100.00,0.00,"1,473,700.00"
26/02/2026,"42,550.00","43,750.00","42,200.00","43,150.00",850.00,0.02,"3,105,500.00"
25/02/2026,"42,650.00","42,850.00","42,050.00","42,300.00",-300.00,-0.01,"1,826,400.00"
24/02/2026,"42,600.00","42,950.00","42,100.00","42,600.00",50.00,0.00,"1,326,400.00"
23/02/2026,"42,850.00","42,850.00","42,350.00","42,550.00",500.00,0.01,"722,700.00"
13/02/2026,"41,950.00","42,700.00","41,050.00","42,050.00",200.00,0.00,"2,457,800.00"
12/02/2026,"42,200.00","42,200.00","41,650.00","41,850.00",-200.00,0.00,"458,300.00"
11/02/2026,"41,950.00","42,250.00","41,650.00","42,050.00",250.00,0.01,"1,276,800.00"
10/02/2026,"42,000.00","42,150.00","41,300.00","41,800.00",-50.00,0.00,"1,588,400.00"
09/02/2026,"42,050.00","42,300.00","41,700.00","41,850.00",-50.00,0.00,"817,400.00"
06/02/2026,"41,100.00","41,900.00","40,400.00","41,900.00",900.00,0.02,"1,869,700.00"
05/02/2026,"42,800.00","42,800.00","41,000.00","41,000.00","-1,200.00",-0.03,"1,331,700.00"
04/02/2026,"41,700.00","42,200.00","41,700.00","42,200.00",650.00,0.02,"1,567,200.00"
03/02/2026,"42,200.00","42,350.00","41,500.00","41,550.00",-450.00,-0.01,"1,040,300.00"
02/02/2026,"41,500.00","42,200.00","40,750.00","42,000.00",350.00,0.01,"1,414,600.00"
30/01/2026,"41,900.00","42,600.00","41,500.00","41,650.00",-50.00,0.00,"1,478,700.00"
29/01/2026,"42,150.00","42,450.00","41,500.00","41,700.00",-300.00,-0.01,"801,400.00"
28/01/2026,"42,200.00","42,500.00","41,750.00","42,000.00",0.00,0.00,"992,500.00"
27/01/2026,"42,000.00","42,550.00","41,900.00","42,000.00",100.00,0.00,"1,433,100.00"
26/01/2026,"42,600.00","43,300.00","41,500.00","41,900.00",-500.00,-0.01,"1,421,000.00"
23/01/2026,"43,900.00","43,900.00","41,900.00","42,400.00",-900.00,-0.02,"1,914,200.00"
22/01/2026,"42,950.00","44,000.00","42,900.00","43,300.00",350.00,0.01,"2,487,900.00"
21/01/2026,"42,500.00","45,000.00","42,500.00","42,950.00",600.00,0.01,"3,086,500.00"
20/01/2026,"41,700.00","43,250.00","41,350.00","42,350.00",800.00,0.02,"2,707,000.00"
19/01/2026,"41,900.00","42,100.00","41,350.00","41,550.00",-200.00,0.00,"863,600.00"
16/01/2026,"41,600.00","42,150.00","41,200.00","41,750.00",250.00,0.01,"1,930,100.00"
15/01/2026,"41,850.00","42,100.00","41,000.00","41,500.00",-200.00,0.00,"1,812,900.00"
14/01/2026,"42,100.00","42,200.00","41,250.00","41,700.00",-200.00,0.00,"1,518,900.00"
13/01/2026,"42,800.00","42,800.00","41,300.00","41,900.00",-500.00,-0.01,"2,377,800.00"
12/01/2026,"41,400.00","42,450.00","41,300.00","42,400.00","1,200.00",0.03,"2,299,400.00"
09/01/2026,"42,100.00","42,500.00","40,950.00","41,200.00",-800.00,-0.02,"2,099,000.00"
08/01/2026,"42,200.00","42,300.00","41,400.00","42,000.00",-100.00,0.00,"1,923,900.00"
07/01/2026,"41,900.00","42,500.00","41,650.00","42,100.00",400.00,0.01,"1,271,400.00"
06/01/2026,"40,700.00","41,850.00","40,550.00","41,700.00","1,200.00",0.03,"4,415,000.00"
05/01/2026,"42,000.00","42,300.00","39,900.00","40,500.00","-1,300.00",-0.03,"4,157,300.00"
31/12/2025,"42,050.00","42,050.00","41,450.00","41,800.00",-100.00,0.00,"2,465,100.00"
30/12/2025,"41,950.00","41,950.00","41,600.00","41,900.00",100.00,0.00,"817,300.00"
29/12/2025,"41,500.00","42,150.00","41,450.00","41,800.00",300.00,0.01,"1,171,100.00"
26/12/2025,"42,100.00","42,500.00","41,500.00","41,500.00",-500.00,-0.01,"2,093,000.00"
25/12/2025,"43,000.00","43,300.00","42,000.00","42,000.00",-800.00,-0.02,"2,288,000.00"
24/12/2025,"42,000.00","43,850.00","42,000.00","42,800.00","1,000.00",0.02,"2,615,700.00"
23/12/2025,"44,250.00","44,250.00","41,250.00","41,800.00","-2,200.00",-0.05,"12,622,600.00"
22/12/2025,"43,800.00","44,450.00","43,200.00","44,000.00",500.00,0.01,"2,655,200.00"
19/12/2025,"44,000.00","46,800.00","43,500.00","43,500.00",-300.00,-0.01,"1,371,800.00"
18/12/2025,"44,200.00","44,200.00","42,850.00","43,800.00",-200.00,0.00,"1,671,400.00"
17/12/2025,"44,700.00","44,800.00","43,300.00","44,000.00",-450.00,-0.01,"854,400.00"
16/12/2025,"43,000.00","44,500.00","42,750.00","44,450.00","1,650.00",0.04,"2,136,800.00"
15/12/2025,"44,350.00","44,350.00","42,500.00","42,800.00","-1,400.00",-0.03,"1,403,500.00"
12/12/2025,"44,750.00","44,850.00","43,200.00","44,200.00",-300.00,-0.01,"1,570,300.00"
