Tên công ty,Ngân hàng Thương mại Cổ phần Quân Đội,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,24/03/2026,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
24/03/2026,"25,750.00","26,000.00","25,400.00","25,600.00",600.00,0.02,"10,681,500.00"
23/03/2026,"25,600.00","25,650.00","24,850.00","25,000.00",-950.00,-0.04,"21,672,100.00"
20/03/2026,"26,300.00","26,350.00","25,950.00","25,950.00",-450.00,-0.02,"13,305,900.00"
19/03/2026,"26,050.00","26,500.00","25,900.00","26,400.00",100.00,0.00,"19,724,200.00"
18/03/2026,"26,700.00","26,900.00","25,750.00","26,300.00",-50.00,0.00,"14,929,500.00"
17/03/2026,"26,400.00","26,750.00","26,250.00","26,350.00",250.00,0.01,"9,514,500.00"
16/03/2026,"26,150.00","26,500.00","26,100.00","26,100.00",-50.00,0.00,"12,448,200.00"
13/03/2026,"26,200.00","26,500.00","25,800.00","26,150.00",-100.00,0.00,"17,314,700.00"
12/03/2026,"26,500.00","26,800.00","26,000.00","26,250.00",-550.00,-0.02,"19,075,600.00"
11/03/2026,"26,550.00","27,000.00","26,450.00","26,800.00",250.00,0.01,"22,212,600.00"
10/03/2026,"26,100.00","26,550.00","25,600.00","26,550.00","1,700.00",0.07,"37,844,500.00"
09/03/2026,"24,900.00","25,650.00","24,850.00","24,850.00","-1,850.00",-0.07,"73,057,300.00"
06/03/2026,"27,100.00","27,150.00","26,650.00","26,700.00",-350.00,-0.01,"22,166,600.00"
05/03/2026,"27,450.00","27,550.00","27,000.00","27,050.00",100.00,0.00,"17,308,700.00"
04/03/2026,"27,100.00","27,400.00","26,350.00","26,950.00",-100.00,0.00,"42,105,200.00"
03/03/2026,"27,750.00","27,850.00","27,000.00","27,050.00",-600.00,-0.02,"42,244,700.00"
02/03/2026,"28,000.00","28,200.00","27,600.00","27,650.00",-850.00,-0.03,"51,175,400.00"
27/02/2026,"28,750.00","28,850.00","28,500.00","28,500.00",-300.00,-0.01,"14,848,500.00"
26/02/2026,"28,900.00","29,100.00","28,450.00","28,800.00",50.00,0.00,"16,056,700.00"
25/02/2026,"28,500.00","29,300.00","28,300.00","28,750.00",500.00,0.02,"28,088,400.00"
24/02/2026,"28,500.00","28,500.00","28,150.00","28,250.00",-100.00,0.00,"27,187,100.00"
23/02/2026,"28,800.00","28,850.00","28,300.00","28,350.00",50.00,0.00,"19,036,000.00"
13/02/2026,"28,600.00","28,600.00","28,300.00","28,300.00",-50.00,0.00,"21,371,900.00"
12/02/2026,"29,300.00","29,300.00","28,300.00","28,350.00",-650.00,-0.02,"27,983,900.00"
11/02/2026,"28,100.00","29,500.00","28,050.00","29,000.00","1,150.00",0.04,"104,577,300.00"
10/02/2026,"27,800.00","28,500.00","27,500.00","27,850.00",250.00,0.01,"51,318,500.00"
09/02/2026,"27,800.00","28,100.00","27,400.00","27,600.00",250.00,0.01,"25,413,800.00"
06/02/2026,"27,000.00","28,100.00","26,450.00","27,350.00",300.00,0.01,"49,957,800.00"
05/02/2026,"27,850.00","27,900.00","27,050.00","27,050.00",-750.00,-0.03,"25,285,900.00"
04/02/2026,"27,850.00","28,100.00","27,550.00","27,800.00",100.00,0.00,"25,733,700.00"
03/02/2026,"27,500.00","28,100.00","27,500.00","27,700.00",400.00,0.01,"50,769,200.00"
02/02/2026,"27,200.00","27,600.00","26,950.00","27,300.00",100.00,0.00,"25,977,600.00"
30/01/2026,"26,750.00","27,200.00","26,600.00","27,200.00",500.00,0.02,"28,064,600.00"
29/01/2026,"26,900.00","26,950.00","26,300.00","26,700.00",150.00,0.01,"19,308,300.00"
28/01/2026,"26,550.00","26,750.00","26,200.00","26,550.00",50.00,0.00,"17,954,900.00"
27/01/2026,"26,150.00","26,600.00","26,100.00","26,500.00",400.00,0.02,"19,201,000.00"
26/01/2026,"26,750.00","26,850.00","26,000.00","26,100.00",-850.00,-0.03,"31,708,000.00"
23/01/2026,"26,950.00","27,100.00","26,650.00","26,950.00",0.00,0.00,"23,036,800.00"
22/01/2026,"27,150.00","27,450.00","26,900.00","26,950.00",-50.00,0.00,"17,506,700.00"
21/01/2026,"27,300.00","27,500.00","26,900.00","27,000.00",-400.00,-0.01,"27,066,700.00"
20/01/2026,"27,750.00","28,000.00","27,100.00","27,400.00",-100.00,0.00,"28,109,000.00"
19/01/2026,"27,200.00","27,600.00","27,150.00","27,500.00",450.00,0.02,"27,218,600.00"
16/01/2026,"27,400.00","27,700.00","27,050.00","27,050.00",-200.00,-0.01,"20,359,500.00"
15/01/2026,"27,050.00","27,550.00","26,800.00","27,250.00",100.00,0.00,"34,596,800.00"
14/01/2026,"27,600.00","27,950.00","26,850.00","27,150.00",-400.00,-0.01,"45,126,300.00"
13/01/2026,"28,250.00","28,300.00","27,450.00","27,550.00",-650.00,-0.02,"45,769,000.00"
12/01/2026,"27,550.00","28,200.00","27,550.00","28,200.00",900.00,0.03,"56,968,300.00"
09/01/2026,"26,750.00","27,700.00","26,700.00","27,300.00",700.00,0.03,"66,065,300.00"
08/01/2026,"26,750.00","27,150.00","26,500.00","26,600.00",-100.00,0.00,"47,534,900.00"
07/01/2026,"26,750.00","26,850.00","26,450.00","26,700.00",50.00,0.00,"33,897,900.00"
06/01/2026,"25,450.00","26,750.00","25,000.00","26,650.00","1,300.00",0.05,"72,144,100.00"
05/01/2026,"25,350.00","25,750.00","24,000.00","25,350.00",50.00,0.00,"36,858,500.00"
31/12/2025,"25,000.00","25,300.00","24,950.00","25,300.00",300.00,0.01,"23,824,800.00"
30/12/2025,"24,900.00","25,200.00","24,850.00","25,000.00",150.00,0.01,"12,056,900.00"
29/12/2025,"24,850.00","25,000.00","24,700.00","24,850.00",0.00,0.00,"11,448,200.00"
26/12/2025,"24,700.00","25,000.00","24,200.00","24,850.00",-150.00,-0.01,"24,369,500.00"
