Tên công ty,CTCP Hàng tiêu dùng Masan,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,24/03/2026,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
24/03/2026,"149,100.00","150,000.00","143,500.00","145,900.00",300.00,0.00,"77,400.00"
23/03/2026,"147,500.00","150,000.00","144,200.00","145,600.00","-9,400.00",-0.06,"485,800.00"
20/03/2026,"158,000.00","159,000.00","155,000.00","155,000.00","-6,000.00",-0.04,"2,211,200.00"
19/03/2026,"155,500.00","161,000.00","154,000.00","161,000.00",0.00,0.00,"820,800.00"
18/03/2026,"162,000.00","163,000.00","150,200.00","161,000.00",800.00,0.00,"413,100.00"
17/03/2026,"153,900.00","160,200.00","150,300.00","160,200.00","10,400.00",0.07,"2,588,200.00"
16/03/2026,"149,800.00","149,800.00","148,100.00","149,800.00","9,800.00",0.07,"1,482,800.00"
13/03/2026,"139,000.00","140,400.00","135,200.00","140,000.00",-400.00,0.00,"383,200.00"
12/03/2026,"145,200.00","145,200.00","138,500.00","140,400.00","-4,600.00",-0.03,"118,400.00"
11/03/2026,"136,500.00","145,000.00","136,500.00","145,000.00","7,000.00",0.05,"94,000.00"
10/03/2026,"132,300.00","141,400.00","132,300.00","138,000.00","5,800.00",0.04,"325,900.00"
09/03/2026,"132,500.00","133,400.00","132,200.00","132,200.00","-9,900.00",-0.07,"208,800.00"
06/03/2026,"149,500.00","149,500.00","141,800.00","142,100.00","-8,000.00",-0.05,"217,700.00"
05/03/2026,"165,000.00","166,000.00","150,000.00","150,100.00","-9,900.00",-0.06,"322,900.00"
04/03/2026,"152,000.00","160,000.00","151,100.00","160,000.00","9,200.00",0.06,"808,500.00"
03/03/2026,"137,000.00","150,800.00","137,000.00","150,800.00","9,800.00",0.07,"439,500.00"
02/03/2026,"135,000.00","141,000.00","134,800.00","141,000.00",0.00,0.00,"259,700.00"
27/02/2026,"144,100.00","144,500.00","139,000.00","141,000.00","-5,000.00",-0.03,"325,500.00"
26/02/2026,"146,000.00","146,000.00","144,000.00","146,000.00","-1,000.00",-0.01,"49,000.00"
25/02/2026,"146,800.00","148,500.00","138,600.00","147,000.00","-2,000.00",-0.01,"216,100.00"
24/02/2026,"147,000.00","149,000.00","145,800.00","149,000.00",0.00,0.00,"52,500.00"
23/02/2026,"149,000.00","149,000.00","145,600.00","149,000.00",0.00,0.00,"84,400.00"
13/02/2026,"145,000.00","149,000.00","145,000.00","149,000.00",0.00,0.00,"70,200.00"
12/02/2026,"145,700.00","150,000.00","144,700.00","149,000.00","-1,000.00",-0.01,"225,300.00"
11/02/2026,"150,000.00","150,000.00","143,100.00","150,000.00",0.00,0.00,"107,200.00"
10/02/2026,"152,200.00","152,200.00","141,700.00","150,000.00","-2,300.00",-0.02,"349,800.00"
09/02/2026,"152,300.00","152,400.00","151,200.00","152,300.00",0.00,0.00,"122,300.00"
06/02/2026,"154,600.00","154,600.00","151,800.00","152,300.00","-2,300.00",-0.01,"113,500.00"
05/02/2026,"157,200.00","158,000.00","154,600.00","154,600.00","-2,600.00",-0.02,"114,100.00"
04/02/2026,"155,600.00","158,200.00","155,000.00","157,200.00","1,600.00",0.01,"177,600.00"
03/02/2026,"153,900.00","156,900.00","152,100.00","155,600.00","1,700.00",0.01,"220,900.00"
02/02/2026,"159,000.00","159,200.00","152,900.00","153,900.00","-5,200.00",-0.03,"195,300.00"
30/01/2026,"161,900.00","161,900.00","158,200.00","159,100.00","1,000.00",0.01,"203,900.00"
29/01/2026,"156,500.00","162,000.00","156,500.00","158,100.00","1,000.00",0.01,"471,000.00"
28/01/2026,"158,500.00","159,100.00","156,500.00","157,100.00","-1,400.00",-0.01,"200,500.00"
27/01/2026,"158,500.00","158,900.00","156,000.00","158,500.00",0.00,0.00,"148,900.00"
26/01/2026,"160,700.00","160,800.00","157,000.00","158,500.00",-300.00,0.00,"130,600.00"
23/01/2026,"158,900.00","160,000.00","157,500.00","158,800.00",0.00,0.00,"166,700.00"
22/01/2026,"160,500.00","160,500.00","156,000.00","158,800.00","-1,000.00",-0.01,"214,200.00"
21/01/2026,"161,800.00","162,000.00","158,000.00","159,800.00","-2,000.00",-0.01,"188,700.00"
20/01/2026,"160,000.00","165,000.00","160,000.00","161,800.00","1,800.00",0.01,"244,400.00"
