Tên công ty,Công ty Cổ phần Chứng khoán Kỹ Thương,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,24/03/2026,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
24/03/2026,"51,000.00","51,800.00","49,700.00","50,700.00",-100.00,0.00,"3,485,000.00"
23/03/2026,"49,150.00","50,800.00","46,050.00","50,800.00","1,950.00",0.04,"3,083,100.00"
20/03/2026,"51,600.00","51,700.00","48,850.00","48,850.00","-3,550.00",-0.07,"3,804,000.00"
19/03/2026,"51,100.00","52,400.00","49,900.00","52,400.00",-200.00,0.00,"2,200,900.00"
18/03/2026,"54,200.00","54,200.00","51,800.00","52,600.00","-1,600.00",-0.03,"1,455,400.00"
17/03/2026,"54,200.00","54,200.00","53,800.00","54,200.00","3,500.00",0.07,"4,476,900.00"
16/03/2026,"49,700.00","52,000.00","49,700.00","50,700.00","1,250.00",0.03,"1,481,300.00"
13/03/2026,"52,000.00","52,000.00","49,450.00","49,450.00","-3,650.00",-0.07,"3,014,000.00"
12/03/2026,"54,800.00","54,800.00","52,400.00","53,100.00","-2,500.00",-0.04,"1,531,600.00"
11/03/2026,"52,900.00","56,000.00","52,000.00","55,600.00","2,800.00",0.05,"1,998,100.00"
10/03/2026,"52,500.00","53,900.00","50,300.00","52,800.00",900.00,0.02,"2,394,400.00"
09/03/2026,"51,900.00","52,100.00","51,900.00","51,900.00","-3,900.00",-0.07,"2,435,700.00"
06/03/2026,"59,900.00","59,900.00","55,800.00","55,800.00","-4,200.00",-0.07,"3,052,700.00"
05/03/2026,"62,000.00","62,900.00","58,700.00","60,000.00","-2,000.00",-0.03,"3,828,900.00"
04/03/2026,"60,500.00","62,000.00","58,000.00","62,000.00",200.00,0.00,"2,762,700.00"
03/03/2026,"63,000.00","63,000.00","61,000.00","61,800.00",-600.00,-0.01,"1,331,100.00"
02/03/2026,"61,300.00","62,800.00","61,300.00","62,400.00","-1,100.00",-0.02,"2,241,700.00"
27/02/2026,"63,100.00","63,500.00","62,100.00","63,500.00",500.00,0.01,"1,406,600.00"
26/02/2026,"62,000.00","63,000.00","61,000.00","63,000.00","1,000.00",0.02,"1,226,600.00"
25/02/2026,"62,400.00","62,800.00","61,000.00","62,000.00",-900.00,-0.01,"1,364,700.00"
24/02/2026,"61,600.00","64,800.00","60,900.00","62,900.00","1,400.00",0.02,"4,058,600.00"
23/02/2026,"58,200.00","61,700.00","57,300.00","61,500.00","3,300.00",0.06,"3,085,000.00"
13/02/2026,"56,100.00","58,200.00","55,700.00","58,200.00","2,200.00",0.04,"2,586,700.00"
12/02/2026,"55,800.00","56,100.00","55,600.00","56,000.00",200.00,0.00,"650,600.00"
11/02/2026,"54,000.00","55,900.00","54,000.00","55,800.00","1,300.00",0.02,"1,176,000.00"
10/02/2026,"55,200.00","55,200.00","54,000.00","54,500.00",-700.00,-0.01,"850,900.00"
09/02/2026,"54,500.00","55,200.00","54,200.00","55,200.00",300.00,0.01,"493,900.00"
06/02/2026,"54,200.00","55,600.00","53,600.00","54,900.00",-900.00,-0.02,"3,298,100.00"
05/02/2026,"55,800.00","55,900.00","55,200.00","55,800.00",0.00,0.00,"1,372,000.00"
04/02/2026,"55,700.00","56,500.00","55,300.00","55,800.00",0.00,0.00,"1,774,700.00"
03/02/2026,"55,700.00","56,400.00","55,100.00","55,800.00",100.00,0.00,"2,391,300.00"
02/02/2026,"56,000.00","56,000.00","54,800.00","55,700.00",-800.00,-0.01,"2,095,900.00"
30/01/2026,"54,200.00","56,600.00","54,200.00","56,500.00","1,500.00",0.03,"3,107,000.00"
29/01/2026,"55,000.00","55,100.00","53,700.00","55,000.00",200.00,0.00,"2,091,200.00"
28/01/2026,"54,400.00","55,000.00","53,900.00","54,800.00",-200.00,0.00,"1,841,100.00"
27/01/2026,"55,000.00","55,000.00","53,500.00","55,000.00",-600.00,-0.01,"2,662,000.00"
26/01/2026,"55,700.00","56,500.00","54,100.00","55,600.00",0.00,0.00,"2,893,900.00"
23/01/2026,"52,800.00","56,300.00","52,400.00","55,600.00","2,900.00",0.06,"8,312,200.00"
22/01/2026,"52,500.00","52,800.00","51,800.00","52,700.00",200.00,0.00,"2,071,000.00"
21/01/2026,"51,500.00","52,500.00","50,000.00","52,500.00",700.00,0.01,"2,571,400.00"
20/01/2026,"52,000.00","52,100.00","51,300.00","51,800.00",-200.00,0.00,"1,612,200.00"
19/01/2026,"51,100.00","52,200.00","51,100.00","52,000.00",0.00,0.00,"2,061,100.00"
16/01/2026,"52,000.00","52,400.00","51,000.00","52,000.00",700.00,0.01,"1,524,200.00"
15/01/2026,"52,000.00","53,000.00","49,950.00","51,300.00","-1,500.00",-0.03,"5,092,700.00"
