Tên công ty,Tổng Công ty cổ phần Đầu tư Quốc tế Viettel,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,24/03/2026,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
24/03/2026,"82,500.00","85,600.00","82,500.00","83,300.00","1,000.00",0.01,"368,700.00"
23/03/2026,"85,700.00","85,700.00","80,200.00","81,700.00","-3,900.00",-0.05,"761,000.00"
20/03/2026,"84,200.00","87,800.00","83,100.00","85,600.00","1,900.00",0.02,"857,600.00"
19/03/2026,"86,500.00","86,500.00","83,100.00","84,200.00","-2,300.00",-0.03,"612,500.00"
18/03/2026,"86,600.00","88,900.00","84,700.00","86,000.00",-600.00,-0.01,"793,100.00"
17/03/2026,"84,300.00","87,900.00","84,000.00","86,400.00","2,100.00",0.02,"642,900.00"
16/03/2026,"83,000.00","85,900.00","82,400.00","83,700.00",700.00,0.01,"731,400.00"
13/03/2026,"84,600.00","85,500.00","82,000.00","82,400.00","-2,800.00",-0.03,"1,000,200.00"
12/03/2026,"88,600.00","88,700.00","84,000.00","84,600.00","-2,100.00",-0.02,"752,400.00"
11/03/2026,"85,000.00","89,800.00","82,800.00","88,600.00","4,500.00",0.05,"1,034,800.00"
10/03/2026,"80,600.00","86,900.00","80,000.00","85,900.00","5,300.00",0.07,"1,450,000.00"
09/03/2026,"92,200.00","92,200.00","80,400.00","80,400.00","-14,100.00",-0.15,"2,082,300.00"
06/03/2026,"99,400.00","99,400.00","91,900.00","92,100.00","-8,100.00",-0.08,"1,165,300.00"
05/03/2026,"96,500.00","104,200.00","96,500.00","97,400.00",900.00,0.01,"810,000.00"
04/03/2026,"101,000.00","101,500.00","92,700.00","97,000.00","-5,400.00",-0.05,"1,843,600.00"
03/03/2026,"102,700.00","106,400.00","100,000.00","101,500.00","-2,700.00",-0.03,"1,624,400.00"
02/03/2026,"110,000.00","110,000.00","92,900.00","102,700.00","-6,000.00",-0.06,"1,680,900.00"
27/02/2026,"110,900.00","111,100.00","107,300.00","110,000.00","-1,300.00",-0.01,"1,341,300.00"
26/02/2026,"113,600.00","114,000.00","110,000.00","110,900.00","-3,100.00",-0.03,"1,084,400.00"
25/02/2026,"115,000.00","118,500.00","112,000.00","113,800.00","-1,900.00",-0.02,"1,154,900.00"
24/02/2026,"117,400.00","118,000.00","113,000.00","114,900.00",900.00,0.01,"1,044,000.00"
23/02/2026,"106,400.00","119,000.00","105,300.00","117,400.00","13,500.00",0.13,"1,503,600.00"
13/02/2026,"107,200.00","107,200.00","101,500.00","105,000.00","-2,200.00",-0.02,"1,064,100.00"
12/02/2026,"108,000.00","109,200.00","105,600.00","107,000.00",500.00,0.00,"422,000.00"
11/02/2026,"105,000.00","109,800.00","101,000.00","106,200.00",200.00,0.00,"902,300.00"
10/02/2026,"113,300.00","117,000.00","100,000.00","104,900.00","-9,400.00",-0.08,"2,655,800.00"
09/02/2026,"116,000.00","117,900.00","112,400.00","113,300.00","-2,200.00",-0.02,"750,400.00"
06/02/2026,"121,000.00","121,000.00","107,400.00","114,400.00","-9,400.00",-0.08,"3,112,200.00"
05/02/2026,"131,000.00","131,000.00","120,000.00","121,000.00","-9,500.00",-0.07,"2,254,100.00"
04/02/2026,"134,600.00","137,900.00","127,200.00","131,000.00","-2,100.00",-0.02,"1,363,400.00"
03/02/2026,"129,600.00","137,600.00","127,500.00","134,500.00","6,700.00",0.05,"2,297,200.00"
02/02/2026,"123,300.00","131,000.00","122,800.00","128,900.00","5,100.00",0.04,"1,558,200.00"
30/01/2026,"123,000.00","127,800.00","119,500.00","123,300.00","2,600.00",0.02,"1,803,400.00"
29/01/2026,"127,300.00","127,300.00","118,400.00","123,000.00","-4,300.00",-0.03,"1,541,800.00"
28/01/2026,"126,000.00","136,500.00","117,200.00","122,600.00","-2,100.00",-0.02,"3,397,600.00"
27/01/2026,"124,000.00","128,000.00","120,500.00","126,800.00","3,800.00",0.03,"1,656,300.00"
26/01/2026,"116,000.00","129,300.00","116,000.00","124,000.00","2,500.00",0.02,"1,489,900.00"
23/01/2026,"127,000.00","128,000.00","115,000.00","116,000.00","-15,200.00",-0.12,"3,396,100.00"
22/01/2026,"135,200.00","142,000.00","126,300.00","127,000.00","-5,400.00",-0.04,"1,673,600.00"
21/01/2026,"138,700.00","140,000.00","128,900.00","136,300.00",-700.00,-0.01,"2,288,600.00"
20/01/2026,"133,500.00","140,100.00","131,000.00","138,800.00","11,400.00",0.09,"1,738,900.00"
19/01/2026,"123,800.00","132,000.00","122,000.00","130,900.00","5,500.00",0.04,"1,516,300.00"
16/01/2026,"126,900.00","132,000.00","115,000.00","124,400.00","-2,500.00",-0.02,"2,346,000.00"
15/01/2026,"119,800.00","134,200.00","119,800.00","126,000.00","9,100.00",0.08,"2,009,400.00"
14/01/2026,"104,300.00","104,300.00","104,300.00","104,300.00","15,600.00",0.15,"2,824,500.00"
13/01/2026,"102,000.00","111,400.00","99,100.00","104,900.00","4,600.00",0.05,"3,913,500.00"
12/01/2026,"91,700.00","101,400.00","91,700.00","101,400.00","13,200.00",0.15,"1,448,300.00"
09/01/2026,"79,800.00","91,700.00","78,900.00","91,700.00","11,900.00",0.15,"4,686,300.00"
08/01/2026,"77,800.00","80,900.00","77,300.00","78,300.00","2,600.00",0.03,"2,216,900.00"
07/01/2026,"70,600.00","79,300.00","70,000.00","77,800.00","7,200.00",0.10,"2,719,200.00"
06/01/2026,"71,100.00","72,000.00","70,000.00","70,600.00",-600.00,-0.01,"260,200.00"
05/01/2026,"70,800.00","80,300.00","70,300.00","71,300.00","1,400.00",0.02,"483,400.00"
31/12/2025,"70,600.00","70,800.00","69,000.00","70,800.00",900.00,0.01,"322,300.00"
30/12/2025,"68,900.00","70,400.00","68,900.00","69,900.00","1,400.00",0.02,"290,700.00"
29/12/2025,"68,000.00","68,900.00","67,900.00","68,500.00",600.00,0.01,"186,100.00"
26/12/2025,"68,400.00","68,800.00","67,500.00","68,000.00",-400.00,-0.01,"344,300.00"
25/12/2025,"68,900.00","70,000.00","65,000.00","67,800.00","-1,500.00",-0.02,"426,800.00"
24/12/2025,"69,900.00","70,000.00","68,800.00","68,900.00","-1,400.00",-0.02,"377,500.00"
23/12/2025,"70,400.00","71,400.00","69,700.00","69,700.00",-600.00,-0.01,"208,900.00"
22/12/2025,"69,400.00","71,000.00","69,400.00","70,500.00","1,400.00",0.02,"165,600.00"
19/12/2025,"69,900.00","69,900.00","68,600.00","69,700.00",-200.00,0.00,"281,400.00"
18/12/2025,"70,500.00","70,600.00","69,300.00","69,800.00",-800.00,-0.01,"194,800.00"
17/12/2025,"69,200.00","71,300.00","68,500.00","70,300.00","1,300.00",0.02,"316,400.00"
