Tên công ty,Công ty Cổ phần Vinhomes,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,24/03/2026,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
24/03/2026,"99,400.00","99,600.00","96,500.00","99,200.00","1,200.00",0.01,"1,460,000.00"
23/03/2026,"99,000.00","99,000.00","93,000.00","98,000.00","-2,000.00",-0.02,"6,595,700.00"
20/03/2026,"102,000.00","102,000.00","97,000.00","100,000.00","-2,300.00",-0.02,"6,142,200.00"
19/03/2026,"101,900.00","103,500.00","100,500.00","102,300.00",300.00,0.00,"4,596,600.00"
18/03/2026,"102,200.00","105,500.00","101,500.00","102,000.00",0.00,0.00,"4,511,300.00"
17/03/2026,"101,900.00","104,400.00","100,800.00","102,000.00","2,000.00",0.02,"4,359,000.00"
16/03/2026,"98,000.00","102,400.00","96,900.00","100,000.00","2,000.00",0.02,"4,947,300.00"
13/03/2026,"94,500.00","98,000.00","93,900.00","98,000.00","2,100.00",0.02,"3,989,100.00"
12/03/2026,"93,700.00","95,900.00","93,500.00","95,900.00",0.00,0.00,"4,137,400.00"
11/03/2026,"89,200.00","95,900.00","89,200.00","95,900.00","6,100.00",0.07,"6,734,300.00"
10/03/2026,"90,300.00","92,900.00","88,300.00","89,800.00","1,400.00",0.02,"5,665,600.00"
09/03/2026,"88,500.00","91,100.00","88,400.00","88,400.00","-6,600.00",-0.07,"17,232,900.00"
06/03/2026,"95,000.00","96,500.00","93,000.00","95,000.00",0.00,0.00,"6,979,200.00"
05/03/2026,"95,400.00","99,000.00","93,300.00","95,000.00","1,500.00",0.02,"8,978,700.00"
04/03/2026,"91,400.00","94,900.00","87,000.00","93,500.00",0.00,0.00,"12,722,700.00"
03/03/2026,"97,100.00","99,800.00","93,500.00","93,500.00","-7,000.00",-0.07,"11,710,100.00"
02/03/2026,"102,500.00","105,100.00","100,500.00","100,500.00","-7,500.00",-0.07,"6,578,000.00"
27/02/2026,"108,000.00","109,500.00","104,600.00","108,000.00",400.00,0.00,"4,915,000.00"
26/02/2026,"106,000.00","112,900.00","105,600.00","107,600.00",600.00,0.01,"6,157,600.00"
25/02/2026,"110,600.00","110,600.00","106,400.00","107,000.00","-4,000.00",-0.04,"5,547,800.00"
24/02/2026,"110,500.00","111,000.00","107,100.00","111,000.00",300.00,0.00,"4,723,800.00"
23/02/2026,"109,100.00","111,400.00","108,000.00","110,700.00","1,700.00",0.02,"3,679,400.00"
13/02/2026,"109,700.00","109,800.00","105,300.00","109,000.00",0.00,0.00,"6,244,700.00"
12/02/2026,"103,600.00","109,300.00","102,100.00","109,000.00","6,000.00",0.06,"6,584,900.00"
11/02/2026,"102,500.00","104,500.00","102,400.00","103,000.00","1,700.00",0.02,"6,203,200.00"
10/02/2026,"94,600.00","101,600.00","94,000.00","101,300.00","6,300.00",0.07,"8,656,800.00"
09/02/2026,"97,900.00","97,900.00","93,100.00","95,000.00","-2,500.00",-0.03,"4,463,200.00"
06/02/2026,"97,600.00","101,800.00","95,100.00","97,500.00",-100.00,0.00,"8,492,200.00"
05/02/2026,"91,200.00","97,600.00","91,200.00","97,600.00","6,300.00",0.07,"9,429,200.00"
04/02/2026,"97,500.00","98,000.00","90,800.00","91,300.00","-6,000.00",-0.06,"13,582,800.00"
03/02/2026,"96,100.00","102,000.00","95,500.00","97,300.00","-1,300.00",-0.01,"9,348,800.00"
02/02/2026,"107,100.00","107,300.00","98,600.00","98,600.00","-7,400.00",-0.07,"9,144,500.00"
30/01/2026,"107,000.00","107,400.00","104,000.00","106,000.00","-1,000.00",-0.01,"4,714,200.00"
29/01/2026,"104,500.00","107,400.00","104,100.00","107,000.00","2,700.00",0.03,"6,368,800.00"
28/01/2026,"108,100.00","109,000.00","102,900.00","104,300.00","-6,300.00",-0.06,"15,508,700.00"
27/01/2026,"117,500.00","118,000.00","110,600.00","110,600.00","-8,300.00",-0.07,"10,162,000.00"
26/01/2026,"124,000.00","124,100.00","116,100.00","118,900.00","-3,600.00",-0.03,"4,159,000.00"
23/01/2026,"122,100.00","127,500.00","121,100.00","122,500.00","2,000.00",0.02,"7,272,600.00"
22/01/2026,"120,100.00","122,900.00","118,500.00","120,500.00","-2,400.00",-0.02,"7,971,100.00"
21/01/2026,"121,000.00","126,000.00","120,300.00","122,900.00",-100.00,0.00,"9,321,600.00"
20/01/2026,"124,100.00","124,500.00","119,700.00","123,000.00","-2,000.00",-0.02,"7,006,400.00"
19/01/2026,"126,900.00","126,900.00","120,500.00","125,000.00",900.00,0.01,"5,284,700.00"
16/01/2026,"121,100.00","126,800.00","121,100.00","124,100.00","4,100.00",0.03,"5,774,400.00"
15/01/2026,"124,000.00","124,000.00","117,500.00","120,000.00","-6,300.00",-0.05,"19,255,700.00"
14/01/2026,"134,900.00","134,900.00","124,700.00","126,300.00","-7,700.00",-0.06,"11,385,300.00"
13/01/2026,"125,700.00","134,900.00","125,700.00","134,000.00","3,800.00",0.03,"9,148,500.00"
12/01/2026,"139,000.00","139,000.00","130,200.00","130,200.00","-9,800.00",-0.07,"9,143,600.00"
09/01/2026,"138,600.00","142,800.00","132,600.00","140,000.00",900.00,0.01,"9,789,300.00"
08/01/2026,"150,300.00","150,900.00","139,100.00","139,100.00","-10,400.00",-0.07,"15,234,400.00"
07/01/2026,"150,000.00","150,900.00","141,000.00","149,500.00","7,700.00",0.05,"9,511,500.00"
06/01/2026,"138,500.00","141,800.00","136,500.00","141,800.00","9,200.00",0.07,"8,459,900.00"
05/01/2026,"126,800.00","132,600.00","125,200.00","132,600.00","8,600.00",0.07,"10,136,200.00"
31/12/2025,"117,500.00","125,700.00","115,800.00","124,000.00","6,500.00",0.06,"6,830,500.00"
30/12/2025,"120,000.00","120,600.00","113,000.00","117,500.00",-200.00,0.00,"6,669,000.00"
29/12/2025,"111,900.00","117,700.00","111,000.00","117,700.00","7,700.00",0.07,"7,324,300.00"
26/12/2025,"106,300.00","111,000.00","106,300.00","110,000.00","-4,300.00",-0.04,"16,551,200.00"
25/12/2025,"124,000.00","131,300.00","114,300.00","114,300.00","-8,500.00",-0.07,"10,699,900.00"
24/12/2025,"117,300.00","122,900.00","114,500.00","122,800.00","7,900.00",0.07,"9,949,600.00"
23/12/2025,"108,500.00","114,900.00","107,600.00","114,900.00","7,500.00",0.07,"7,781,700.00"
22/12/2025,"104,000.00","107,400.00","102,200.00","107,400.00","5,900.00",0.06,"4,779,100.00"
19/12/2025,"95,300.00","101,500.00","95,100.00","101,500.00","6,600.00",0.07,"5,348,700.00"
18/12/2025,"94,900.00","95,000.00","93,500.00","94,900.00",0.00,0.00,"3,362,700.00"
17/12/2025,"94,900.00","95,300.00","92,700.00","94,900.00",-100.00,0.00,"3,306,500.00"
16/12/2025,"91,300.00","95,700.00","90,500.00","95,000.00","2,500.00",0.03,"5,672,700.00"
15/12/2025,"94,800.00","96,000.00","91,100.00","92,500.00","-1,600.00",-0.02,"5,413,200.00"
12/12/2025,"101,000.00","101,000.00","94,100.00","94,100.00","-7,000.00",-0.07,"6,638,700.00"
11/12/2025,"101,800.00","103,300.00","101,100.00","101,100.00","-2,400.00",-0.02,"3,117,200.00"
10/12/2025,"107,000.00","107,000.00","100,200.00","103,500.00","-4,000.00",-0.04,"7,908,400.00"
09/12/2025,"110,800.00","111,400.00","104,700.00","107,500.00","-2,500.00",-0.02,"7,599,600.00"
08/12/2025,"107,000.00","110,000.00","106,000.00","110,000.00","3,000.00",0.03,"4,703,000.00"
05/12/2025,"105,000.00","108,500.00","104,800.00","107,000.00","1,800.00",0.02,"5,143,500.00"
04/12/2025,"106,200.00","106,200.00","104,200.00","105,200.00","-1,600.00",-0.01,"4,609,800.00"
03/12/2025,"106,900.00","107,000.00","104,800.00","106,800.00",0.00,0.00,"4,477,200.00"
02/12/2025,"105,900.00","106,800.00","103,600.00","106,800.00","1,100.00",0.01,"4,533,700.00"
01/12/2025,"104,000.00","107,300.00","103,000.00","105,700.00","2,800.00",0.03,"7,379,600.00"
28/11/2025,"102,000.00","103,300.00","101,300.00","102,900.00",400.00,0.00,"3,484,700.00"
27/11/2025,"102,500.00","103,600.00","101,300.00","102,500.00",400.00,0.00,"3,487,200.00"
26/11/2025,"102,800.00","102,900.00","100,100.00","102,100.00",-500.00,0.00,"5,603,200.00"
25/11/2025,"103,400.00","104,000.00","101,200.00","102,600.00",-100.00,0.00,"4,762,600.00"
24/11/2025,"99,300.00","104,000.00","98,700.00","102,700.00","3,400.00",0.03,"6,362,300.00"
21/11/2025,"96,100.00","99,300.00","96,100.00","99,300.00","1,500.00",0.02,"3,997,400.00"
20/11/2025,"96,700.00","98,400.00","96,000.00","97,800.00",900.00,0.01,"5,032,300.00"
19/11/2025,"96,900.00","96,900.00","95,300.00","96,900.00",-100.00,0.00,"4,683,200.00"
18/11/2025,"95,700.00","97,000.00","94,000.00","97,000.00","2,000.00",0.02,"4,602,000.00"
17/11/2025,"94,000.00","96,300.00","94,000.00","95,000.00","1,100.00",0.01,"4,162,000.00"
14/11/2025,"93,000.00","93,900.00","90,500.00","93,900.00",600.00,0.01,"3,280,400.00"
13/11/2025,"94,500.00","94,900.00","91,600.00","93,300.00",-700.00,-0.01,"4,292,000.00"
12/11/2025,"90,100.00","95,000.00","90,100.00","94,000.00","4,000.00",0.04,"5,070,500.00"
11/11/2025,"86,900.00","91,400.00","86,900.00","90,000.00","3,100.00",0.04,"8,515,600.00"
10/11/2025,"90,200.00","92,000.00","86,900.00","86,900.00","-5,100.00",-0.06,"7,668,200.00"
07/11/2025,"97,500.00","98,000.00","92,000.00","92,000.00","-6,900.00",-0.07,"9,881,200.00"
06/11/2025,"99,600.00","101,500.00","97,600.00","98,900.00",-700.00,-0.01,"4,637,800.00"
05/11/2025,"101,200.00","101,700.00","99,500.00","99,600.00",-600.00,-0.01,"4,151,600.00"
04/11/2025,"98,400.00","102,000.00","98,400.00","100,200.00","1,700.00",0.02,"4,564,100.00"
03/11/2025,"99,600.00","101,400.00","97,800.00","98,500.00",-700.00,-0.01,"5,156,400.00"
31/10/2025,"103,800.00","103,800.00","99,200.00","99,200.00","-4,800.00",-0.05,"7,101,300.00"
30/10/2025,"103,800.00","105,000.00","100,800.00","104,000.00",200.00,0.00,"4,691,300.00"
29/10/2025,"107,100.00","107,100.00","102,700.00","103,800.00","-3,200.00",-0.03,"3,761,700.00"
28/10/2025,"104,200.00","107,000.00","99,100.00","107,000.00",500.00,0.00,"14,097,200.00"
27/10/2025,"115,000.00","116,000.00","106,500.00","106,500.00","-8,000.00",-0.07,"7,957,300.00"
24/10/2025,"114,600.00","116,800.00","112,500.00","114,500.00",-500.00,0.00,"5,629,000.00"
23/10/2025,"113,000.00","117,100.00","111,200.00","115,000.00","2,000.00",0.02,"6,638,900.00"
22/10/2025,"112,000.00","113,000.00","104,000.00","113,000.00","2,100.00",0.02,"7,776,600.00"
21/10/2025,"109,000.00","115,000.00","106,900.00","110,900.00","2,900.00",0.03,"9,148,300.00"
20/10/2025,"114,000.00","115,000.00","108,000.00","108,000.00","-8,000.00",-0.07,"11,634,800.00"
17/10/2025,"122,000.00","122,000.00","114,600.00","116,000.00","-6,000.00",-0.05,"12,213,500.00"
16/10/2025,"123,800.00","123,800.00","120,400.00","122,000.00","-2,000.00",-0.02,"9,614,900.00"
15/10/2025,"127,500.00","127,600.00","122,600.00","124,000.00","-3,000.00",-0.02,"8,062,500.00"
14/10/2025,"124,500.00","131,500.00","124,500.00","127,000.00","2,800.00",0.02,"14,600,200.00"
13/10/2025,"123,000.00","126,000.00","122,100.00","124,200.00","1,200.00",0.01,"13,782,200.00"
10/10/2025,"118,000.00","123,000.00","116,000.00","123,000.00","8,000.00",0.07,"9,026,200.00"
09/10/2025,"108,300.00","115,000.00","108,100.00","115,000.00","7,500.00",0.07,"14,621,200.00"
08/10/2025,"103,500.00","107,500.00","101,200.00","107,500.00","4,400.00",0.04,"9,009,300.00"
07/10/2025,"103,000.00","104,600.00","102,200.00","103,100.00",400.00,0.00,"6,628,600.00"
06/10/2025,"103,900.00","103,900.00","100,500.00","102,700.00","2,700.00",0.03,"5,992,800.00"
03/10/2025,"98,600.00","100,000.00","96,000.00","100,000.00","1,400.00",0.01,"6,013,329.00"
02/10/2025,"101,200.00","102,000.00","98,600.00","98,600.00","-2,600.00",-0.03,"6,841,100.00"
01/10/2025,"103,000.00","104,500.00","100,800.00","101,200.00","-1,800.00",-0.02,"5,423,500.00"
30/09/2025,"102,500.00","105,800.00","102,100.00","103,000.00","1,100.00",0.01,"5,130,500.00"
29/09/2025,"98,900.00","105,300.00","97,600.00","101,900.00","2,900.00",0.03,"7,746,500.00"
26/09/2025,"99,800.00","101,500.00","98,500.00","99,000.00",-500.00,-0.01,"3,791,000.00"
25/09/2025,"97,000.00","99,900.00","96,100.00","99,500.00","1,500.00",0.02,"4,715,400.00"
24/09/2025,"97,800.00","98,400.00","95,300.00","98,000.00",-700.00,-0.01,"6,132,500.00"
23/09/2025,"98,200.00","99,100.00","96,500.00","98,700.00",-800.00,-0.01,"3,722,500.00"
22/09/2025,"101,800.00","103,200.00","94,600.00","99,500.00","-2,200.00",-0.02,"10,796,100.00"
19/09/2025,"104,000.00","104,200.00","99,800.00","101,700.00","-1,800.00",-0.02,"8,114,700.00"
18/09/2025,"104,100.00","108,200.00","102,500.00","103,500.00",600.00,0.01,"5,719,900.00"
17/09/2025,"102,000.00","104,400.00","101,200.00","102,900.00",200.00,0.00,"3,422,000.00"
