Tên công ty,Tập đoàn Vingroup - Công ty Cổ phần,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,24/03/2026,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
24/03/2026,"132,000.00","132,400.00","125,900.00","127,000.00","1,400.00",0.01,"1,914,700.00"
23/03/2026,"135,600.00","138,000.00","125,600.00","125,600.00","-9,400.00",-0.07,"4,671,100.00"
20/03/2026,"148,000.00","148,000.00","135,000.00","135,000.00","-10,000.00",-0.07,"10,346,200.00"
19/03/2026,"146,600.00","151,000.00","145,000.00","145,000.00","-1,000.00",-0.01,"5,611,400.00"
18/03/2026,"148,300.00","156,000.00","146,000.00","146,000.00",-200.00,0.00,"4,966,200.00"
17/03/2026,"145,000.00","150,900.00","145,000.00","146,200.00","1,500.00",0.01,"2,810,700.00"
16/03/2026,"146,200.00","147,600.00","141,400.00","144,700.00",100.00,0.00,"2,480,300.00"
13/03/2026,"143,900.00","148,000.00","141,200.00","144,600.00",-400.00,0.00,"2,665,200.00"
12/03/2026,"144,800.00","149,700.00","142,900.00","145,000.00","-1,000.00",-0.01,"3,036,100.00"
11/03/2026,"143,000.00","148,500.00","143,000.00","146,000.00","4,200.00",0.03,"2,974,500.00"
10/03/2026,"154,800.00","154,800.00","141,000.00","141,800.00","-3,800.00",-0.03,"4,203,800.00"
09/03/2026,"151,400.00","156,000.00","145,600.00","145,600.00","-10,900.00",-0.07,"6,353,700.00"
06/03/2026,"163,500.00","165,000.00","156,000.00","156,500.00","-8,300.00",-0.05,"2,975,400.00"
05/03/2026,"159,000.00","166,400.00","157,200.00","164,800.00","9,200.00",0.06,"5,615,500.00"
04/03/2026,"150,600.00","161,000.00","150,600.00","155,600.00",100.00,0.00,"4,387,500.00"
03/03/2026,"164,000.00","167,000.00","155,500.00","155,500.00","-11,700.00",-0.07,"6,378,300.00"
02/03/2026,"171,000.00","177,800.00","166,000.00","167,200.00","-4,800.00",-0.03,"4,989,000.00"
27/02/2026,"169,100.00","178,500.00","168,000.00","172,000.00","3,100.00",0.02,"3,624,400.00"
26/02/2026,"157,000.00","169,000.00","157,000.00","168,900.00","10,900.00",0.07,"6,775,200.00"
25/02/2026,"160,000.00","162,000.00","155,000.00","158,000.00","-4,900.00",-0.03,"5,289,800.00"
24/02/2026,"162,300.00","163,600.00","159,000.00","162,900.00",600.00,0.00,"1,947,400.00"
23/02/2026,"160,000.00","166,800.00","159,200.00","162,300.00","2,300.00",0.01,"3,711,300.00"
13/02/2026,"161,900.00","164,100.00","152,000.00","160,000.00","1,000.00",0.01,"5,436,200.00"
12/02/2026,"154,800.00","160,800.00","152,000.00","159,000.00","8,200.00",0.05,"4,346,600.00"
