Tên công ty,Công ty Cổ phần Hàng không VietJet,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,24/03/2026,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
24/03/2026,"151,800.00","152,000.00","146,700.00","147,800.00","-4,000.00",-0.03,"1,189,500.00"
23/03/2026,"152,500.00","153,300.00","151,100.00","151,800.00","-5,500.00",-0.03,"980,100.00"
20/03/2026,"157,500.00","157,500.00","151,300.00","157,300.00","-1,400.00",-0.01,"1,784,200.00"
19/03/2026,"158,400.00","158,800.00","155,000.00","158,700.00","-1,300.00",-0.01,"1,725,300.00"
18/03/2026,"156,200.00","160,000.00","155,200.00","160,000.00","3,000.00",0.02,"1,285,600.00"
17/03/2026,"154,000.00","157,000.00","154,000.00","157,000.00","3,000.00",0.02,"1,243,800.00"
16/03/2026,"156,000.00","156,000.00","152,600.00","154,000.00","-2,800.00",-0.02,"1,162,100.00"
13/03/2026,"152,600.00","157,000.00","152,600.00","156,800.00","4,000.00",0.03,"1,257,300.00"
12/03/2026,"155,000.00","157,900.00","152,800.00","152,800.00","-6,900.00",-0.04,"1,393,200.00"
11/03/2026,"157,000.00","160,000.00","152,800.00","159,700.00","4,700.00",0.03,"1,433,700.00"
10/03/2026,"154,300.00","156,000.00","150,700.00","155,000.00","2,000.00",0.01,"1,429,000.00"
09/03/2026,"149,500.00","153,000.00","145,500.00","153,000.00","-3,400.00",-0.02,"1,111,300.00"
06/03/2026,"156,000.00","158,500.00","152,200.00","156,400.00",0.00,0.00,"1,238,100.00"
05/03/2026,"163,300.00","163,700.00","156,000.00","156,400.00","-6,800.00",-0.04,"1,566,900.00"
04/03/2026,"163,600.00","166,000.00","155,800.00","163,200.00",-900.00,-0.01,"1,467,800.00"
03/03/2026,"168,300.00","170,000.00","164,100.00","164,100.00","-4,900.00",-0.03,"1,193,000.00"
02/03/2026,"170,500.00","171,600.00","168,200.00","169,000.00","-6,800.00",-0.04,"1,184,600.00"
27/02/2026,"177,800.00","178,500.00","175,200.00","175,800.00","-2,700.00",-0.02,"1,133,900.00"
26/02/2026,"177,500.00","179,100.00","173,700.00","178,500.00",0.00,0.00,"1,174,800.00"
25/02/2026,"180,200.00","183,500.00","177,000.00","178,500.00","-8,100.00",-0.04,"1,183,500.00"
24/02/2026,"174,900.00","186,600.00","170,700.00","186,600.00","11,700.00",0.07,"1,663,400.00"
23/02/2026,"169,500.00","175,000.00","169,200.00","174,900.00","5,700.00",0.03,"1,266,800.00"
13/02/2026,"168,000.00","169,500.00","165,500.00","169,200.00","1,200.00",0.01,"1,247,500.00"
12/02/2026,"168,000.00","170,000.00","165,700.00","168,000.00",0.00,0.00,"1,078,600.00"
11/02/2026,"162,500.00","168,000.00","161,200.00","168,000.00","5,000.00",0.03,"1,187,900.00"
10/02/2026,"164,000.00","165,000.00","161,500.00","163,000.00","-2,000.00",-0.01,"1,049,000.00"
09/02/2026,"166,000.00","168,500.00","164,500.00","165,000.00","-1,000.00",-0.01,"1,042,500.00"
06/02/2026,"165,000.00","166,100.00","161,400.00","166,000.00",-500.00,0.00,"1,268,400.00"
05/02/2026,"164,000.00","170,000.00","162,200.00","166,500.00","1,500.00",0.01,"1,515,400.00"
04/02/2026,"166,000.00","167,000.00","161,200.00","165,000.00","-3,000.00",-0.02,"1,312,300.00"
03/02/2026,"168,800.00","170,000.00","164,800.00","168,000.00","-2,000.00",-0.01,"1,304,800.00"
02/02/2026,"170,700.00","171,700.00","160,300.00","170,000.00",-500.00,0.00,"1,498,600.00"
