Tên công ty,Công ty Cổ phần Sữa Việt Nam,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,24/03/2026,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
24/03/2026,"61,800.00","61,800.00","60,900.00","61,000.00",200.00,0.00,"2,029,700.00"
23/03/2026,"59,200.00","61,000.00","59,200.00","60,800.00",800.00,0.01,"5,908,000.00"
20/03/2026,"61,000.00","61,500.00","60,000.00","60,000.00","-1,000.00",-0.02,"5,734,800.00"
19/03/2026,"61,400.00","62,000.00","60,800.00","61,000.00",-700.00,-0.01,"6,400,100.00"
18/03/2026,"61,800.00","62,700.00","61,600.00","61,700.00",200.00,0.00,"2,596,400.00"
17/03/2026,"62,700.00","63,000.00","61,500.00","61,500.00",-300.00,0.00,"3,816,100.00"
16/03/2026,"62,600.00","62,900.00","61,700.00","61,800.00","-1,300.00",-0.02,"2,965,000.00"
13/03/2026,"62,000.00","63,200.00","61,600.00","63,100.00","1,500.00",0.02,"5,388,500.00"
12/03/2026,"62,000.00","62,700.00","61,300.00","61,600.00","-1,400.00",-0.02,"6,298,800.00"
11/03/2026,"61,700.00","63,700.00","61,600.00","63,000.00",900.00,0.01,"7,507,500.00"
10/03/2026,"60,000.00","62,100.00","59,500.00","62,100.00","4,000.00",0.07,"10,762,100.00"
09/03/2026,"59,000.00","59,100.00","58,100.00","58,100.00","-4,300.00",-0.07,"18,046,300.00"
06/03/2026,"63,000.00","63,000.00","62,200.00","62,400.00",-800.00,-0.01,"6,471,800.00"
05/03/2026,"65,000.00","65,200.00","63,000.00","63,200.00","-1,700.00",-0.03,"8,165,700.00"
04/03/2026,"63,400.00","64,900.00","62,000.00","64,900.00","1,500.00",0.02,"13,382,500.00"
03/03/2026,"66,600.00","67,300.00","63,400.00","63,400.00","-3,200.00",-0.05,"17,815,700.00"
02/03/2026,"66,900.00","69,800.00","66,500.00","66,600.00","-1,600.00",-0.02,"12,468,700.00"
27/02/2026,"70,200.00","70,600.00","68,000.00","68,200.00","-2,400.00",-0.03,"13,371,400.00"
26/02/2026,"71,200.00","71,400.00","69,600.00","70,600.00","-1,700.00",-0.02,"14,298,200.00"
25/02/2026,"70,400.00","73,400.00","70,400.00","72,300.00","2,100.00",0.03,"9,804,200.00"
24/02/2026,"70,600.00","71,300.00","70,200.00","70,200.00",-400.00,-0.01,"3,552,500.00"
23/02/2026,"70,000.00","71,300.00","69,800.00","70,600.00","1,100.00",0.02,"4,211,800.00"
13/02/2026,"69,000.00","69,800.00","68,600.00","69,500.00",500.00,0.01,"3,341,400.00"
12/02/2026,"69,300.00","69,800.00","69,000.00","69,000.00",-100.00,0.00,"1,951,100.00"
11/02/2026,"68,400.00","69,900.00","68,400.00","69,100.00",700.00,0.01,"2,672,900.00"
10/02/2026,"69,600.00","70,500.00","68,100.00","68,400.00","-1,200.00",-0.02,"5,090,400.00"
09/02/2026,"69,400.00","70,400.00","69,300.00","69,600.00",500.00,0.01,"2,573,300.00"
06/02/2026,"68,300.00","70,700.00","68,200.00","69,100.00",0.00,0.00,"6,695,900.00"
05/02/2026,"71,900.00","72,200.00","69,100.00","69,100.00","-2,900.00",-0.04,"8,057,000.00"
04/02/2026,"71,800.00","72,600.00","70,800.00","72,000.00",400.00,0.01,"7,672,500.00"
03/02/2026,"72,900.00","73,600.00","71,300.00","71,600.00","-1,000.00",-0.01,"7,261,000.00"
02/02/2026,"70,900.00","72,600.00","70,300.00","72,600.00","2,000.00",0.03,"10,777,700.00"
30/01/2026,"71,500.00","72,500.00","70,500.00","70,600.00",-500.00,-0.01,"7,844,800.00"
29/01/2026,"68,500.00","71,100.00","67,900.00","71,100.00","3,400.00",0.05,"10,036,800.00"
28/01/2026,"67,700.00","69,500.00","67,200.00","67,700.00",0.00,0.00,"9,816,800.00"
27/01/2026,"68,400.00","68,600.00","66,100.00","67,700.00","-1,200.00",-0.02,"8,357,800.00"
26/01/2026,"67,400.00","69,300.00","67,400.00","68,900.00","1,700.00",0.03,"8,864,800.00"
23/01/2026,"69,400.00","70,100.00","67,200.00","67,200.00","-3,700.00",-0.05,"16,050,400.00"
22/01/2026,"71,100.00","72,800.00","70,000.00","70,900.00",600.00,0.01,"8,055,200.00"
21/01/2026,"73,000.00","73,000.00","70,000.00","70,300.00","-3,100.00",-0.04,"11,234,100.00"
20/01/2026,"71,500.00","75,500.00","71,100.00","73,400.00","2,800.00",0.04,"21,521,900.00"
