Tên công ty,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,24/03/2026,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
24/03/2026,"24,450.00","25,650.00","24,250.00","25,100.00","1,100.00",0.05,"23,801,400.00"
23/03/2026,"24,900.00","24,900.00","23,900.00","24,000.00","-1,050.00",-0.04,"22,738,500.00"
20/03/2026,"25,300.00","25,900.00","25,050.00","25,050.00",-550.00,-0.02,"15,978,800.00"
19/03/2026,"25,250.00","25,800.00","24,950.00","25,600.00",0.00,0.00,"23,991,600.00"
18/03/2026,"25,950.00","26,150.00","25,400.00","25,600.00",-100.00,0.00,"9,271,600.00"
17/03/2026,"25,800.00","26,400.00","25,700.00","25,700.00",200.00,0.01,"9,324,100.00"
16/03/2026,"25,700.00","25,750.00","25,400.00","25,500.00",-150.00,-0.01,"7,467,100.00"
13/03/2026,"25,400.00","26,000.00","25,000.00","25,650.00",-100.00,0.00,"13,865,300.00"
12/03/2026,"25,850.00","26,200.00","25,500.00","25,750.00",-700.00,-0.03,"12,809,200.00"
11/03/2026,"25,500.00","26,500.00","25,400.00","26,450.00",950.00,0.04,"17,296,100.00"
10/03/2026,"26,000.00","26,000.00","24,800.00","25,500.00",700.00,0.03,"30,382,100.00"
09/03/2026,"24,800.00","25,200.00","24,800.00","24,800.00","-1,850.00",-0.07,"32,371,300.00"
06/03/2026,"27,000.00","27,000.00","26,650.00","26,650.00",-350.00,-0.01,"15,454,600.00"
05/03/2026,"27,450.00","28,100.00","26,950.00","27,000.00",-150.00,-0.01,"21,450,200.00"
04/03/2026,"27,350.00","27,650.00","26,500.00","27,150.00",-300.00,-0.01,"26,580,500.00"
03/03/2026,"28,050.00","28,450.00","27,300.00","27,450.00",-600.00,-0.02,"18,795,100.00"
02/03/2026,"28,250.00","28,700.00","27,950.00","28,050.00",-900.00,-0.03,"24,664,300.00"
27/02/2026,"29,050.00","29,450.00","28,750.00","28,950.00",50.00,0.00,"18,002,900.00"
26/02/2026,"29,000.00","29,200.00","28,850.00","28,900.00",50.00,0.00,"13,933,100.00"
25/02/2026,"29,000.00","29,500.00","28,800.00","28,850.00",-150.00,-0.01,"20,144,800.00"
24/02/2026,"28,700.00","29,150.00","28,550.00","29,000.00",200.00,0.01,"18,101,200.00"
23/02/2026,"28,450.00","29,150.00","28,300.00","28,800.00",500.00,0.02,"15,465,000.00"
13/02/2026,"28,100.00","28,300.00","27,900.00","28,300.00",50.00,0.00,"12,905,500.00"
12/02/2026,"28,350.00","28,500.00","28,150.00","28,250.00",-50.00,0.00,"8,140,700.00"
11/02/2026,"26,800.00","28,300.00","26,800.00","28,300.00","1,700.00",0.06,"28,252,000.00"
10/02/2026,"26,700.00","27,300.00","26,350.00","26,600.00",-150.00,-0.01,"11,076,900.00"
09/02/2026,"27,000.00","27,150.00","26,650.00","26,750.00",-50.00,0.00,"8,770,500.00"
06/02/2026,"27,200.00","27,250.00","26,800.00","26,800.00",-600.00,-0.02,"18,137,700.00"
05/02/2026,"28,000.00","28,050.00","27,400.00","27,400.00",-350.00,-0.01,"9,669,100.00"
04/02/2026,"27,500.00","27,800.00","27,250.00","27,750.00",250.00,0.01,"16,720,100.00"
03/02/2026,"27,850.00","28,000.00","27,500.00","27,500.00",-100.00,0.00,"15,333,400.00"
02/02/2026,"27,850.00","28,000.00","27,250.00","27,600.00",-400.00,-0.01,"14,154,800.00"
30/01/2026,"27,750.00","28,000.00","27,550.00","28,000.00",350.00,0.01,"15,839,700.00"
29/01/2026,"28,000.00","28,150.00","27,650.00","27,650.00",-100.00,0.00,"8,246,800.00"
28/01/2026,"27,950.00","28,300.00","27,650.00","27,750.00",-50.00,0.00,"14,212,000.00"
27/01/2026,"27,800.00","28,100.00","27,700.00","27,800.00",50.00,0.00,"12,846,500.00"
26/01/2026,"28,600.00","28,650.00","27,600.00","27,750.00",-750.00,-0.03,"32,470,600.00"
23/01/2026,"29,200.00","29,300.00","28,500.00","28,500.00",-700.00,-0.02,"31,092,900.00"
22/01/2026,"29,100.00","29,400.00","29,050.00","29,200.00",150.00,0.01,"19,795,300.00"
21/01/2026,"29,650.00","29,650.00","29,000.00","29,050.00",-700.00,-0.02,"34,082,700.00"
20/01/2026,"30,150.00","30,950.00","29,700.00","29,750.00",100.00,0.00,"48,697,600.00"
19/01/2026,"28,950.00","29,800.00","28,900.00","29,650.00",750.00,0.03,"30,777,100.00"
16/01/2026,"29,300.00","29,450.00","28,850.00","28,900.00",-100.00,0.00,"24,981,000.00"
15/01/2026,"29,350.00","29,400.00","28,750.00","29,000.00",-500.00,-0.02,"34,620,800.00"
14/01/2026,"30,550.00","30,800.00","29,200.00","29,500.00","-1,000.00",-0.03,"44,749,400.00"
13/01/2026,"31,300.00","31,450.00","30,300.00","30,500.00",300.00,0.01,"42,211,100.00"
12/01/2026,"28,500.00","30,200.00","28,150.00","30,200.00","1,950.00",0.07,"49,690,500.00"
09/01/2026,"29,250.00","29,650.00","28,200.00","28,250.00","-1,000.00",-0.03,"37,610,200.00"
08/01/2026,"29,300.00","29,750.00","29,000.00","29,250.00",0.00,0.00,"29,952,600.00"
07/01/2026,"29,150.00","29,750.00","29,100.00","29,250.00",400.00,0.01,"34,203,500.00"
06/01/2026,"27,850.00","28,900.00","27,650.00","28,850.00",950.00,0.03,"21,660,200.00"
05/01/2026,"28,650.00","28,800.00","27,550.00","27,900.00",-750.00,-0.03,"16,194,100.00"
31/12/2025,"28,700.00","29,000.00","28,550.00","28,650.00",-50.00,0.00,"22,530,100.00"
30/12/2025,"27,900.00","29,100.00","27,900.00","28,700.00",700.00,0.02,"23,124,400.00"
29/12/2025,"28,150.00","28,300.00","27,800.00","28,000.00",-150.00,-0.01,"20,347,900.00"
26/12/2025,"28,200.00","28,850.00","27,350.00","28,150.00",-600.00,-0.02,"27,183,600.00"
25/12/2025,"29,300.00","29,700.00","28,750.00","28,750.00",-550.00,-0.02,"14,199,000.00"
24/12/2025,"28,600.00","29,300.00","28,400.00","29,300.00",600.00,0.02,"15,286,500.00"
23/12/2025,"29,100.00","29,400.00","28,550.00","28,700.00",-300.00,-0.01,"12,224,300.00"
22/12/2025,"28,450.00","29,000.00","28,100.00","29,000.00",550.00,0.02,"13,903,800.00"
19/12/2025,"28,250.00","28,450.00","28,000.00","28,450.00",150.00,0.01,"9,896,000.00"
18/12/2025,"28,000.00","28,300.00","27,700.00","28,300.00",300.00,0.01,"7,996,800.00"
17/12/2025,"28,200.00","28,300.00","27,800.00","28,000.00",-250.00,-0.01,"6,311,700.00"
16/12/2025,"27,450.00","28,300.00","26,800.00","28,250.00",750.00,0.03,"11,815,200.00"
15/12/2025,"26,600.00","27,500.00","26,600.00","27,500.00",950.00,0.04,"18,306,600.00"
12/12/2025,"28,100.00","28,200.00","26,550.00","26,550.00","-1,600.00",-0.06,"21,016,800.00"
11/12/2025,"28,950.00","29,000.00","28,150.00","28,150.00",-850.00,-0.03,"10,971,700.00"
10/12/2025,"28,750.00","29,100.00","28,500.00","29,000.00",250.00,0.01,"9,284,000.00"
09/12/2025,"29,650.00","29,700.00","28,400.00","28,750.00",-950.00,-0.03,"25,274,800.00"
08/12/2025,"29,800.00","30,250.00","29,550.00","29,700.00",-150.00,-0.01,"15,691,000.00"
05/12/2025,"30,250.00","30,300.00","29,800.00","29,850.00",-400.00,-0.01,"12,515,000.00"
04/12/2025,"30,350.00","30,450.00","29,900.00","30,250.00",0.00,0.00,"16,875,100.00"
03/12/2025,"29,150.00","30,300.00","29,000.00","30,250.00","1,350.00",0.05,"30,066,400.00"
02/12/2025,"29,250.00","29,250.00","28,700.00","28,900.00",-400.00,-0.01,"10,412,200.00"
01/12/2025,"29,050.00","29,550.00","28,850.00","29,300.00",50.00,0.00,"11,852,800.00"
28/11/2025,"29,100.00","29,250.00","28,700.00","29,250.00",150.00,0.01,"11,904,900.00"
27/11/2025,"29,050.00","29,500.00","28,800.00","29,100.00",100.00,0.00,"14,878,100.00"
26/11/2025,"28,200.00","29,100.00","28,200.00","29,000.00",800.00,0.03,"18,812,900.00"
25/11/2025,"28,950.00","29,000.00","28,100.00","28,200.00",-800.00,-0.03,"14,577,900.00"
24/11/2025,"28,550.00","29,200.00","28,400.00","29,000.00",450.00,0.02,"18,118,500.00"
21/11/2025,"28,350.00","28,700.00","28,000.00","28,550.00",0.00,0.00,"18,164,600.00"
20/11/2025,"28,250.00","28,750.00","28,000.00","28,550.00",450.00,0.02,"19,548,400.00"
19/11/2025,"28,700.00","28,750.00","28,100.00","28,100.00",-700.00,-0.02,"16,825,600.00"
18/11/2025,"28,300.00","28,800.00","28,150.00","28,800.00",700.00,0.02,"18,859,400.00"
17/11/2025,"27,950.00","28,400.00","27,850.00","28,100.00",300.00,0.01,"12,074,200.00"
14/11/2025,"27,600.00","28,200.00","27,600.00","27,800.00",50.00,0.00,"11,783,400.00"
13/11/2025,"28,300.00","28,350.00","27,750.00","27,750.00",-250.00,-0.01,"12,863,200.00"
12/11/2025,"27,650.00","28,300.00","27,500.00","28,000.00",500.00,0.02,"16,274,200.00"
11/11/2025,"27,750.00","27,800.00","27,400.00","27,500.00",0.00,0.00,"14,818,100.00"
10/11/2025,"27,400.00","28,200.00","27,400.00","27,500.00",0.00,0.00,"16,818,300.00"
07/11/2025,"28,450.00","28,500.00","27,300.00","27,500.00","-1,000.00",-0.04,"23,937,800.00"
06/11/2025,"29,200.00","29,200.00","28,400.00","28,500.00",-750.00,-0.03,"13,235,900.00"
05/11/2025,"29,000.00","29,450.00","28,800.00","29,250.00",-250.00,-0.01,"13,066,000.00"
