Tên công ty,Tổng công ty Cảng hàng không Việt Nam - CTCP,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,24/03/2026,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
24/03/2026,"43,400.00","44,900.00","43,400.00","43,900.00",700.00,0.02,"610,200.00"
23/03/2026,"44,800.00","44,900.00","42,800.00","42,900.00","-2,000.00",-0.04,"1,670,100.00"
20/03/2026,"46,200.00","46,800.00","44,400.00","44,500.00","-1,700.00",-0.04,"1,812,700.00"
19/03/2026,"48,200.00","48,200.00","45,600.00","46,900.00",-800.00,-0.02,"1,689,500.00"
18/03/2026,"48,700.00","48,800.00","47,000.00","48,200.00",-400.00,-0.01,"1,156,600.00"
17/03/2026,"48,600.00","49,200.00","48,100.00","48,700.00",100.00,0.00,"724,400.00"
16/03/2026,"49,000.00","49,300.00","48,100.00","48,500.00",-500.00,-0.01,"560,300.00"
13/03/2026,"49,200.00","49,900.00","48,200.00","49,000.00",-300.00,-0.01,"815,500.00"
12/03/2026,"50,000.00","51,000.00","48,700.00","49,300.00",100.00,0.00,"816,500.00"
11/03/2026,"48,300.00","50,000.00","48,000.00","49,900.00","2,100.00",0.04,"1,312,800.00"
10/03/2026,"45,000.00","49,800.00","44,600.00","48,200.00","2,400.00",0.05,"1,640,900.00"
09/03/2026,"50,000.00","50,000.00","44,200.00","44,800.00","-5,900.00",-0.12,"4,117,000.00"
06/03/2026,"51,400.00","51,900.00","50,200.00","51,200.00",-200.00,0.00,"1,506,600.00"
05/03/2026,"49,100.00","52,100.00","49,100.00","51,600.00","1,600.00",0.03,"1,141,800.00"
04/03/2026,"51,100.00","51,200.00","49,000.00","50,800.00",-400.00,-0.01,"2,739,900.00"
03/03/2026,"51,200.00","52,000.00","50,700.00","51,100.00",-400.00,-0.01,"2,246,700.00"
02/03/2026,"53,000.00","53,000.00","50,000.00","51,200.00","-1,800.00",-0.03,"3,842,500.00"
27/02/2026,"53,800.00","54,500.00","52,600.00","53,300.00",-500.00,-0.01,"1,810,600.00"
26/02/2026,"55,600.00","55,900.00","52,900.00","53,600.00","-2,200.00",-0.04,"3,300,400.00"
25/02/2026,"54,900.00","56,900.00","54,900.00","55,600.00",700.00,0.01,"1,916,300.00"
24/02/2026,"55,300.00","55,400.00","54,500.00","54,600.00",-300.00,-0.01,"1,668,900.00"
23/02/2026,"54,000.00","56,300.00","53,900.00","55,300.00","1,600.00",0.03,"2,567,700.00"
13/02/2026,"53,900.00","54,100.00","53,400.00","53,900.00",0.00,0.00,"1,001,900.00"
12/02/2026,"54,300.00","54,600.00","53,500.00","53,800.00",-300.00,-0.01,"747,300.00"
11/02/2026,"54,000.00","54,600.00","53,500.00","54,300.00",500.00,0.01,"1,494,400.00"
10/02/2026,"55,500.00","56,500.00","53,200.00","53,700.00",100.00,0.00,"1,611,900.00"
09/02/2026,"53,500.00","54,500.00","53,100.00","54,000.00","1,100.00",0.02,"1,015,400.00"
06/02/2026,"54,200.00","54,800.00","51,800.00","52,800.00","-2,200.00",-0.04,"2,813,200.00"
05/02/2026,"55,700.00","56,800.00","54,200.00","54,200.00","-1,500.00",-0.03,"2,043,500.00"
04/02/2026,"56,100.00","57,000.00","55,000.00","55,700.00",-100.00,0.00,"2,203,500.00"
03/02/2026,"54,400.00","56,800.00","54,100.00","56,100.00","2,100.00",0.04,"3,413,500.00"
02/02/2026,"54,900.00","55,700.00","52,800.00","54,300.00",-200.00,0.00,"2,751,200.00"
30/01/2026,"52,600.00","55,900.00","52,400.00","54,800.00","2,500.00",0.05,"3,663,100.00"
29/01/2026,"53,600.00","53,800.00","51,900.00","52,600.00",-200.00,0.00,"2,841,900.00"
28/01/2026,"51,200.00","54,500.00","51,000.00","52,900.00","1,600.00",0.03,"4,428,300.00"
27/01/2026,"53,500.00","53,700.00","50,400.00","51,200.00","-3,600.00",-0.07,"7,449,600.00"
26/01/2026,"59,400.00","59,600.00","52,000.00","53,400.00","-5,200.00",-0.09,"7,978,300.00"
23/01/2026,"60,500.00","60,900.00","56,800.00","59,400.00","-1,800.00",-0.03,"3,739,800.00"
22/01/2026,"60,000.00","62,400.00","59,800.00","60,400.00",900.00,0.02,"2,726,200.00"
21/01/2026,"61,300.00","61,400.00","58,500.00","59,800.00","-1,800.00",-0.03,"3,462,800.00"
20/01/2026,"59,500.00","63,500.00","58,500.00","61,400.00","1,400.00",0.02,"3,340,000.00"
19/01/2026,"61,900.00","61,900.00","59,200.00","59,600.00","-2,300.00",-0.04,"3,625,500.00"
16/01/2026,"63,200.00","64,800.00","60,500.00","60,800.00","-2,400.00",-0.04,"5,327,700.00"
15/01/2026,"61,700.00","64,800.00","61,200.00","62,100.00","2,600.00",0.04,"5,608,500.00"
14/01/2026,"55,200.00","62,000.00","55,200.00","61,100.00","5,500.00",0.10,"10,445,500.00"
13/01/2026,"58,000.00","58,000.00","54,300.00","55,200.00","-2,500.00",-0.04,"4,888,100.00"
12/01/2026,"55,600.00","59,300.00","55,400.00","57,200.00","2,200.00",0.04,"4,303,600.00"
