Tên công ty,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,24/03/2026,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
24/03/2026,"82,000.00","82,700.00","79,500.00","79,500.00","-1,000.00",-0.01,"1,262,100.00"
23/03/2026,"78,500.00","83,600.00","78,500.00","80,500.00","-1,500.00",-0.02,"2,980,000.00"
20/03/2026,"88,100.00","88,800.00","82,000.00","82,000.00","-6,100.00",-0.07,"3,150,400.00"
19/03/2026,"92,300.00","92,400.00","87,400.00","88,100.00","-3,600.00",-0.04,"2,140,100.00"
18/03/2026,"86,400.00","92,400.00","86,400.00","91,700.00","5,300.00",0.06,"2,627,100.00"
17/03/2026,"89,000.00","90,400.00","86,000.00","86,400.00","-1,500.00",-0.02,"1,712,800.00"
16/03/2026,"91,000.00","91,100.00","85,400.00","87,900.00","-3,900.00",-0.04,"5,461,400.00"
13/03/2026,"97,900.00","101,300.00","91,800.00","91,800.00","-6,900.00",-0.07,"4,442,600.00"
12/03/2026,"103,000.00","103,000.00","98,700.00","98,700.00","-4,300.00",-0.04,"1,736,400.00"
11/03/2026,"93,300.00","103,000.00","93,200.00","103,000.00","6,000.00",0.06,"4,146,800.00"
10/03/2026,"104,000.00","107,500.00","97,000.00","97,000.00","-7,300.00",-0.07,"3,885,500.00"
09/03/2026,"116,000.00","116,300.00","104,300.00","104,300.00","-7,800.00",-0.07,"5,387,400.00"
06/03/2026,"118,600.00","118,600.00","112,000.00","112,100.00","-7,600.00",-0.06,"4,731,500.00"
05/03/2026,"126,000.00","126,900.00","119,700.00","119,700.00","-9,000.00",-0.07,"5,317,800.00"
04/03/2026,"124,000.00","131,500.00","121,800.00","128,700.00","5,300.00",0.04,"4,554,900.00"
03/03/2026,"119,900.00","123,400.00","111,000.00","123,400.00","8,000.00",0.07,"7,680,200.00"
02/03/2026,"115,300.00","115,400.00","112,500.00","115,400.00","7,500.00",0.07,"3,660,300.00"
27/02/2026,"106,000.00","111,900.00","105,500.00","107,900.00","1,900.00",0.02,"2,827,100.00"
26/02/2026,"111,000.00","111,000.00","105,500.00","106,000.00","-4,000.00",-0.04,"3,151,900.00"
25/02/2026,"110,500.00","117,500.00","108,000.00","110,000.00",-500.00,0.00,"3,689,100.00"
24/02/2026,"112,000.00","112,400.00","107,100.00","110,500.00","1,800.00",0.02,"4,780,400.00"
23/02/2026,"104,900.00","108,700.00","104,900.00","108,700.00","7,100.00",0.07,"956,400.00"
13/02/2026,"101,500.00","103,700.00","99,700.00","101,600.00",200.00,0.00,"2,039,200.00"
12/02/2026,"106,200.00","106,200.00","101,000.00","101,400.00",-600.00,-0.01,"2,700,300.00"
11/02/2026,"105,800.00","107,400.00","102,000.00","102,000.00","-5,700.00",-0.05,"3,230,600.00"
10/02/2026,"115,900.00","119,600.00","107,700.00","107,700.00","-8,000.00",-0.07,"6,158,900.00"
09/02/2026,"117,000.00","117,800.00","114,500.00","115,700.00",700.00,0.01,"901,300.00"
06/02/2026,"110,000.00","118,800.00","109,500.00","115,000.00","3,000.00",0.03,"3,964,600.00"
05/02/2026,"115,800.00","116,800.00","112,000.00","112,000.00","-3,800.00",-0.03,"2,555,300.00"
04/02/2026,"117,000.00","120,000.00","114,300.00","115,800.00","-1,200.00",-0.01,"2,275,800.00"
03/02/2026,"115,800.00","121,900.00","113,100.00","117,000.00","2,500.00",0.02,"3,319,000.00"
02/02/2026,"113,900.00","116,800.00","110,000.00","114,500.00","-2,500.00",-0.02,"5,534,800.00"
30/01/2026,"116,800.00","122,000.00","115,800.00","117,000.00",200.00,0.00,"3,644,900.00"
29/01/2026,"118,500.00","118,500.00","111,300.00","116,800.00","-1,200.00",-0.01,"3,705,700.00"
28/01/2026,"121,000.00","122,800.00","115,000.00","118,000.00","2,700.00",0.02,"7,140,900.00"
27/01/2026,"109,800.00","115,300.00","109,000.00","115,300.00","7,500.00",0.07,"5,889,900.00"
26/01/2026,"100,500.00","107,800.00","100,500.00","107,800.00","7,000.00",0.07,"6,102,800.00"
23/01/2026,"104,800.00","106,300.00","99,200.00","100,800.00","-4,000.00",-0.04,"3,428,600.00"
22/01/2026,"110,500.00","110,500.00","104,700.00","104,800.00","-5,200.00",-0.05,"4,035,100.00"
