Tên công ty,Công ty Cổ phần Tập đoàn Hòa Phát,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,24/03/2026,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
24/03/2026,"26,000.00","26,300.00","25,900.00","25,950.00",450.00,0.02,"20,318,700.00"
23/03/2026,"25,650.00","26,200.00","25,250.00","25,500.00",-400.00,-0.02,"44,362,900.00"
20/03/2026,"26,500.00","26,550.00","25,900.00","25,900.00",-800.00,-0.03,"60,885,800.00"
19/03/2026,"26,500.00","26,850.00","26,350.00","26,700.00",-100.00,0.00,"36,837,300.00"
18/03/2026,"26,900.00","27,150.00","26,650.00","26,800.00",-100.00,0.00,"23,058,500.00"
17/03/2026,"27,000.00","27,350.00","26,900.00","26,900.00",150.00,0.01,"24,176,300.00"
16/03/2026,"26,650.00","26,950.00","26,550.00","26,750.00",100.00,0.00,"19,880,400.00"
13/03/2026,"26,700.00","27,200.00","26,500.00","26,650.00",-150.00,-0.01,"28,666,500.00"
12/03/2026,"27,000.00","27,150.00","26,650.00","26,800.00",-600.00,-0.02,"44,045,900.00"
11/03/2026,"27,150.00","27,650.00","26,950.00","27,400.00",300.00,0.01,"49,913,200.00"
10/03/2026,"26,800.00","27,100.00","26,150.00","27,100.00","1,750.00",0.07,"91,236,600.00"
09/03/2026,"25,500.00","26,150.00","25,350.00","25,350.00","-1,900.00",-0.07,"120,981,900.00"
06/03/2026,"27,000.00","27,600.00","26,850.00","27,250.00",0.00,0.00,"44,351,700.00"
05/03/2026,"27,950.00","28,150.00","27,100.00","27,250.00",-450.00,-0.02,"47,998,900.00"
04/03/2026,"27,600.00","27,850.00","26,800.00","27,700.00",0.00,0.00,"68,275,500.00"
03/03/2026,"28,800.00","28,850.00","27,600.00","27,700.00",-800.00,-0.03,"69,294,100.00"
02/03/2026,"28,200.00","29,250.00","28,050.00","28,500.00",-300.00,-0.01,"86,907,000.00"
27/02/2026,"29,350.00","29,400.00","28,800.00","28,800.00",-600.00,-0.02,"47,306,500.00"
26/02/2026,"29,500.00","29,550.00","28,800.00","29,400.00",100.00,0.00,"54,496,800.00"
25/02/2026,"28,400.00","29,700.00","28,400.00","29,300.00","1,000.00",0.04,"136,409,200.00"
24/02/2026,"27,500.00","28,400.00","27,350.00","28,300.00",800.00,0.03,"99,498,300.00"
23/02/2026,"27,100.00","27,500.00","27,100.00","27,500.00",650.00,0.02,"36,086,500.00"
13/02/2026,"26,900.00","27,150.00","26,800.00","26,850.00",-50.00,0.00,"24,069,800.00"
12/02/2026,"27,000.00","27,100.00","26,750.00","26,900.00",50.00,0.00,"13,137,000.00"
11/02/2026,"26,650.00","27,100.00","26,500.00","26,850.00",300.00,0.01,"26,495,200.00"
10/02/2026,"26,900.00","26,950.00","26,400.00","26,550.00",-200.00,-0.01,"32,543,400.00"
09/02/2026,"27,050.00","27,300.00","26,700.00","26,750.00",-50.00,0.00,"24,310,400.00"
06/02/2026,"27,350.00","28,100.00","26,800.00","26,800.00",-750.00,-0.03,"67,073,000.00"
05/02/2026,"28,300.00","28,350.00","27,550.00","27,550.00",-750.00,-0.03,"32,887,100.00"
04/02/2026,"26,850.00","28,600.00","26,850.00","28,300.00","1,550.00",0.06,"145,418,100.00"
03/02/2026,"26,650.00","27,100.00","26,650.00","26,750.00",200.00,0.01,"32,029,900.00"
02/02/2026,"26,800.00","26,800.00","26,250.00","26,550.00",-250.00,-0.01,"44,024,300.00"
30/01/2026,"27,300.00","27,500.00","26,750.00","26,800.00",-300.00,-0.01,"40,558,400.00"
29/01/2026,"26,800.00","27,100.00","26,800.00","27,100.00",400.00,0.01,"27,608,700.00"
28/01/2026,"26,550.00","27,100.00","26,550.00","26,700.00",250.00,0.01,"29,982,700.00"
27/01/2026,"26,350.00","26,550.00","26,200.00","26,450.00",150.00,0.01,"21,014,200.00"
26/01/2026,"26,750.00","26,800.00","26,150.00","26,300.00",-450.00,-0.02,"33,759,300.00"
23/01/2026,"27,100.00","27,150.00","26,750.00","26,750.00",-100.00,0.00,"24,233,600.00"
22/01/2026,"26,900.00","27,300.00","26,850.00","26,850.00",50.00,0.00,"27,732,600.00"
21/01/2026,"27,150.00","27,250.00","26,650.00","26,800.00",-450.00,-0.02,"37,234,300.00"
20/01/2026,"27,850.00","27,950.00","27,100.00","27,250.00",-450.00,-0.02,"44,169,600.00"
19/01/2026,"27,900.00","28,200.00","27,650.00","27,700.00",100.00,0.00,"40,465,900.00"
16/01/2026,"27,800.00","28,250.00","27,300.00","27,600.00",0.00,0.00,"65,577,000.00"
15/01/2026,"27,250.00","27,900.00","27,250.00","27,600.00",350.00,0.01,"61,937,700.00"
14/01/2026,"27,450.00","27,600.00","27,000.00","27,250.00",0.00,0.00,"53,908,300.00"
13/01/2026,"27,750.00","27,900.00","27,000.00","27,250.00",-250.00,-0.01,"45,777,400.00"
12/01/2026,"26,350.00","27,600.00","26,350.00","27,500.00","1,300.00",0.05,"83,534,900.00"
09/01/2026,"26,800.00","26,800.00","26,200.00","26,200.00",-200.00,-0.01,"35,089,300.00"
08/01/2026,"26,700.00","26,800.00","26,400.00","26,400.00",-200.00,-0.01,"37,518,600.00"
07/01/2026,"25,950.00","26,750.00","25,950.00","26,600.00",650.00,0.03,"37,249,700.00"
06/01/2026,"26,000.00","26,200.00","25,350.00","25,950.00",0.00,0.00,"39,616,600.00"
05/01/2026,"26,400.00","26,550.00","25,700.00","25,950.00",-450.00,-0.02,"46,487,900.00"
31/12/2025,"26,450.00","26,600.00","26,350.00","26,400.00",-100.00,0.00,"20,149,700.00"
30/12/2025,"26,700.00","26,850.00","26,500.00","26,500.00",-200.00,-0.01,"24,581,900.00"
29/12/2025,"27,000.00","27,000.00","26,650.00","26,700.00",-200.00,-0.01,"16,525,200.00"
