Tên công ty,Công ty Cổ phần Đầu tư Thế Giới Di Động,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,24/03/2026,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
24/03/2026,"76,600.00","76,800.00","75,300.00","75,600.00","1,400.00",0.02,"5,855,900.00"
23/03/2026,"78,000.00","78,100.00","74,200.00","74,200.00","-5,500.00",-0.07,"17,473,900.00"
20/03/2026,"82,100.00","82,100.00","79,700.00","79,700.00","-2,700.00",-0.03,"6,488,600.00"
19/03/2026,"82,000.00","82,600.00","81,400.00","82,400.00","-1,300.00",-0.02,"7,916,000.00"
18/03/2026,"82,800.00","84,300.00","82,400.00","83,700.00","1,000.00",0.01,"4,304,400.00"
17/03/2026,"81,500.00","83,800.00","81,500.00","82,700.00","2,100.00",0.03,"3,811,100.00"
16/03/2026,"81,900.00","82,200.00","80,400.00","80,600.00","-1,400.00",-0.02,"5,282,300.00"
13/03/2026,"84,500.00","84,500.00","82,000.00","82,000.00","-2,600.00",-0.03,"6,260,000.00"
12/03/2026,"84,000.00","86,500.00","83,100.00","84,600.00","-1,900.00",-0.02,"10,104,500.00"
11/03/2026,"81,000.00","86,600.00","80,500.00","86,500.00","5,500.00",0.07,"17,339,300.00"
10/03/2026,"79,000.00","81,800.00","77,400.00","81,000.00","4,000.00",0.05,"21,042,400.00"
09/03/2026,"77,000.00","77,000.00","77,000.00","77,000.00","-5,700.00",-0.07,"4,983,800.00"
06/03/2026,"84,800.00","84,800.00","81,700.00","82,700.00","-2,500.00",-0.03,"13,359,400.00"
05/03/2026,"88,900.00","89,000.00","85,200.00","85,200.00","-3,600.00",-0.04,"11,270,500.00"
04/03/2026,"87,100.00","88,800.00","83,800.00","88,800.00",600.00,0.01,"13,414,100.00"
03/03/2026,"90,200.00","91,200.00","86,900.00","88,200.00","-1,800.00",-0.02,"13,370,000.00"
02/03/2026,"91,800.00","92,200.00","90,000.00","90,000.00","-3,100.00",-0.03,"10,738,700.00"
27/02/2026,"93,700.00","93,900.00","92,600.00","93,100.00",-500.00,-0.01,"5,224,300.00"
26/02/2026,"93,000.00","94,300.00","92,500.00","93,600.00",600.00,0.01,"5,011,100.00"
25/02/2026,"92,200.00","94,100.00","92,000.00","93,000.00",800.00,0.01,"8,132,700.00"
24/02/2026,"91,600.00","92,200.00","90,500.00","92,200.00",200.00,0.00,"6,601,300.00"
23/02/2026,"92,900.00","93,100.00","91,100.00","92,000.00",-800.00,-0.01,"5,003,100.00"
13/02/2026,"91,900.00","93,200.00","91,500.00","92,800.00",-100.00,0.00,"5,511,500.00"
12/02/2026,"92,500.00","93,900.00","91,100.00","92,900.00","1,000.00",0.01,"7,890,300.00"
