Tên công ty,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,24/03/2026,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
24/03/2026,"61,100.00","62,000.00","60,500.00","60,500.00",500.00,0.01,"4,075,400.00"
23/03/2026,"62,400.00","62,900.00","60,000.00","60,000.00","-3,400.00",-0.05,"8,986,900.00"
20/03/2026,"63,100.00","64,000.00","62,700.00","63,400.00",0.00,0.00,"9,388,100.00"
19/03/2026,"63,300.00","64,700.00","62,100.00","63,400.00",100.00,0.00,"11,631,900.00"
18/03/2026,"67,700.00","68,800.00","62,900.00","63,300.00","-4,300.00",-0.06,"33,645,200.00"
17/03/2026,"67,000.00","69,200.00","67,000.00","67,600.00","1,000.00",0.02,"8,825,000.00"
16/03/2026,"65,700.00","68,900.00","65,600.00","66,600.00",800.00,0.01,"10,881,400.00"
13/03/2026,"65,000.00","67,000.00","64,900.00","65,800.00",100.00,0.00,"6,921,900.00"
12/03/2026,"65,600.00","67,100.00","65,100.00","65,700.00",-600.00,-0.01,"6,081,700.00"
11/03/2026,"65,100.00","67,400.00","64,500.00","66,300.00","1,300.00",0.02,"9,254,700.00"
10/03/2026,"63,000.00","65,000.00","62,600.00","65,000.00","4,200.00",0.07,"21,117,100.00"
09/03/2026,"59,400.00","64,100.00","59,400.00","60,800.00","-3,000.00",-0.05,"34,718,500.00"
06/03/2026,"64,900.00","65,400.00","62,600.00","63,800.00","-1,100.00",-0.02,"9,695,500.00"
05/03/2026,"67,600.00","68,700.00","64,900.00","64,900.00","-1,800.00",-0.03,"11,705,000.00"
04/03/2026,"67,600.00","68,100.00","65,300.00","66,700.00","-1,100.00",-0.02,"15,992,100.00"
03/03/2026,"67,000.00","70,200.00","67,000.00","67,800.00",800.00,0.01,"10,142,700.00"
02/03/2026,"65,100.00","70,000.00","64,100.00","67,000.00","1,500.00",0.02,"22,266,500.00"
27/02/2026,"66,900.00","67,200.00","65,500.00","65,500.00","-1,500.00",-0.02,"7,079,500.00"
26/02/2026,"66,800.00","67,300.00","65,600.00","67,000.00",300.00,0.00,"8,140,000.00"
25/02/2026,"63,400.00","67,800.00","63,400.00","66,700.00","3,300.00",0.05,"20,065,800.00"
24/02/2026,"63,200.00","64,200.00","63,000.00","63,400.00",500.00,0.01,"7,967,200.00"
23/02/2026,"62,500.00","63,700.00","62,500.00","62,900.00",300.00,0.00,"5,818,900.00"
13/02/2026,"61,200.00","62,600.00","61,100.00","62,600.00","1,500.00",0.02,"8,998,200.00"
12/02/2026,"61,200.00","62,700.00","61,100.00","61,100.00",0.00,0.00,"4,636,600.00"
11/02/2026,"59,300.00","62,900.00","59,300.00","61,100.00","1,600.00",0.03,"8,440,100.00"
10/02/2026,"60,300.00","60,700.00","59,000.00","59,500.00",-800.00,-0.01,"15,767,700.00"
09/02/2026,"61,600.00","62,100.00","60,300.00","60,300.00","-1,200.00",-0.02,"5,613,100.00"
06/02/2026,"61,800.00","62,400.00","60,800.00","61,500.00",-800.00,-0.01,"14,979,600.00"
05/02/2026,"63,800.00","65,000.00","62,300.00","62,300.00","-1,500.00",-0.02,"10,907,100.00"
04/02/2026,"62,800.00","64,600.00","62,600.00","63,800.00",800.00,0.01,"11,683,400.00"
03/02/2026,"64,000.00","64,500.00","62,700.00","63,000.00",-500.00,-0.01,"10,152,200.00"
02/02/2026,"63,000.00","64,000.00","62,000.00","63,500.00",500.00,0.01,"12,216,000.00"
30/01/2026,"62,800.00","65,000.00","62,700.00","63,000.00",200.00,0.00,"9,372,100.00"
29/01/2026,"64,000.00","64,400.00","62,600.00","62,800.00",-400.00,-0.01,"7,052,500.00"
28/01/2026,"62,000.00","65,600.00","61,900.00","63,200.00","1,300.00",0.02,"12,810,300.00"
27/01/2026,"62,000.00","63,300.00","61,000.00","61,900.00",-100.00,0.00,"12,496,700.00"
26/01/2026,"63,000.00","63,800.00","61,600.00","62,000.00",-600.00,-0.01,"14,884,400.00"
23/01/2026,"63,200.00","66,100.00","62,600.00","62,600.00",-900.00,-0.01,"16,451,000.00"
22/01/2026,"63,000.00","66,400.00","63,000.00","63,500.00","1,400.00",0.02,"17,206,700.00"
21/01/2026,"57,600.00","62,100.00","57,200.00","62,100.00","4,000.00",0.07,"25,967,900.00"
