Tên công ty,Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,24/03/2026,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
24/03/2026,"29,300.00","29,850.00","29,150.00","29,600.00",700.00,0.02,"6,748,500.00"
23/03/2026,"29,500.00","29,550.00","28,900.00","28,900.00",-950.00,-0.03,"15,397,100.00"
20/03/2026,"30,000.00","30,100.00","29,850.00","29,850.00",-200.00,-0.01,"7,919,000.00"
19/03/2026,"30,150.00","30,300.00","29,900.00","30,050.00",-250.00,-0.01,"16,386,600.00"
18/03/2026,"30,500.00","30,800.00","30,150.00","30,300.00",0.00,0.00,"6,834,600.00"
17/03/2026,"30,250.00","30,900.00","30,100.00","30,300.00",100.00,0.00,"13,156,600.00"
16/03/2026,"30,000.00","30,450.00","30,000.00","30,200.00",200.00,0.01,"8,138,100.00"
13/03/2026,"30,000.00","30,300.00","29,650.00","30,000.00",0.00,0.00,"9,833,600.00"
12/03/2026,"30,550.00","31,000.00","29,900.00","30,000.00","-1,100.00",-0.04,"18,068,400.00"
11/03/2026,"30,050.00","31,350.00","29,950.00","31,100.00",800.00,0.03,"12,998,900.00"
10/03/2026,"30,800.00","30,800.00","29,750.00","30,300.00","1,050.00",0.04,"18,772,700.00"
09/03/2026,"29,250.00","29,800.00","29,250.00","29,250.00","-2,200.00",-0.07,"33,386,400.00"
06/03/2026,"32,100.00","32,100.00","31,350.00","31,450.00",-750.00,-0.02,"14,743,000.00"
05/03/2026,"33,000.00","33,100.00","32,200.00","32,200.00",-300.00,-0.01,"15,754,300.00"
04/03/2026,"33,500.00","33,700.00","31,800.00","32,500.00","-1,100.00",-0.03,"30,866,600.00"
03/03/2026,"34,650.00","34,950.00","33,600.00","33,600.00","-1,050.00",-0.03,"17,273,500.00"
02/03/2026,"35,800.00","35,800.00","34,650.00","34,650.00","-1,600.00",-0.04,"17,516,400.00"
27/02/2026,"36,050.00","36,400.00","35,850.00","36,250.00",-200.00,-0.01,"7,958,700.00"
26/02/2026,"36,100.00","36,450.00","36,000.00","36,450.00",450.00,0.01,"9,305,800.00"
25/02/2026,"35,800.00","36,450.00","35,700.00","36,000.00",200.00,0.01,"12,384,800.00"
24/02/2026,"35,850.00","35,900.00","35,750.00","35,800.00",-50.00,0.00,"10,872,100.00"
23/02/2026,"35,500.00","35,900.00","35,450.00","35,850.00",400.00,0.01,"9,141,000.00"
13/02/2026,"35,200.00","35,500.00","35,200.00","35,450.00",0.00,0.00,"6,059,700.00"
12/02/2026,"35,400.00","35,750.00","35,200.00","35,450.00",150.00,0.00,"7,542,700.00"
11/02/2026,"34,700.00","35,350.00","34,600.00","35,300.00",700.00,0.02,"11,045,000.00"
10/02/2026,"34,800.00","35,000.00","34,450.00","34,600.00",-150.00,0.00,"9,951,100.00"
09/02/2026,"35,000.00","35,000.00","34,500.00","34,750.00",150.00,0.00,"7,754,700.00"
06/02/2026,"34,500.00","34,600.00","34,100.00","34,600.00",-250.00,-0.01,"12,492,400.00"
05/02/2026,"34,950.00","35,100.00","34,750.00","34,850.00",300.00,0.01,"10,700,200.00"
04/02/2026,"34,700.00","34,900.00","34,350.00","34,550.00",-150.00,0.00,"11,708,700.00"
03/02/2026,"35,600.00","35,600.00","34,700.00","34,700.00",-300.00,-0.01,"14,012,600.00"
